player,nationality,age,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,team,Pos1,Pos2
Aaron Connolly,ie IRL,19.0,24,14,"1,258",3.0,1.0,0.0,0.0,0.0,0.0,0.21,0.07,0.29,0.21,0.29,3.1,3.1,0.3,0.22,0.02,0.24,0.22,0.24,Brighton,FW,
Shane Duffy,ie IRL,27.0,19,12,"1,238",1.0,0.0,0.0,0.0,2.0,0.0,0.07,0.0,0.07,0.07,0.07,1.5,1.5,0.0,0.11,0.0,0.11,0.11,0.11,Brighton,DF,
Steven Alzate,co COL,20.0,19,12,"1,188",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,0.7,0.09,0.05,0.15,0.09,0.15,Brighton,MF,DF
Solly March,eng ENG,25.0,19,11,"1,143",0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.08,0.08,0.0,0.08,1.4,1.4,0.7,0.11,0.06,0.17,0.11,0.17,Brighton,DF,FW
Glenn Murray,eng ENG,35.0,23,7,797,1.0,1.0,0.0,0.0,0.0,0.0,0.11,0.11,0.23,0.11,0.23,2.1,2.1,0.5,0.24,0.06,0.3,0.24,0.3,Brighton,FW,
Bernardo,br BRA,24.0,14,7,679,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.03,0.02,0.06,0.03,0.06,Brighton,DF,
Tariq Lamptey,eng ENG,18.0,8,7,588,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.15,0.15,0.0,0.15,0.1,0.1,0.6,0.01,0.09,0.1,0.01,0.1,Brighton,DF,
Ezequiel Schelotto,it ITA,30.0,8,4,361,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.09,0.0,0.09,0.09,0.09,Brighton,DF,
Alexis Mac Allister,ar ARG,20.0,9,4,352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.3,0.09,0.07,0.16,0.09,0.16,Brighton,MF,FW
Alireza Jahanbakhsh,ir IRN,25.0,10,3,311,2.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.58,0.58,0.58,0.5,0.5,0.0,0.15,0.01,0.17,0.15,0.17,Brighton,FW,MF
Jürgen Locadia,nl NED,25.0,2,1,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.28,0.0,0.28,0.28,0.28,Brighton,MF,FW
Florin Andone,ro ROU,26.0,3,1,73,1.0,0.0,0.0,0.0,0.0,1.0,1.23,0.0,1.23,1.23,1.23,0.1,0.1,0.0,0.14,0.06,0.2,0.14,0.2,Brighton,MF,FW
Gaëtan Bong,cm CMR,31.0,4,0,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.21,0.21,0.0,0.21,Brighton,MF,DF
Leon Balogun,ng NGA,31.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton,DF,
Tudor Băluță,ro ROU,20.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton,DF,MF
David Button,eng ENG,30.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton,GK,
Alexander Cochrane,eng ENG,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton,DF,
Nick Pope,eng ENG,27.0,38,38,"3,420",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.02,0.02,0.0,0.02,Burnley,GK,
James Tarkowski,eng ENG,26.0,38,38,"3,420",2.0,2.0,0.0,0.0,10.0,0.0,0.05,0.05,0.11,0.05,0.11,2.3,2.3,2.1,0.06,0.05,0.12,0.06,0.12,Burnley,DF,
Dwight McNeil,eng ENG,19.0,38,38,"3,338",2.0,6.0,0.0,0.0,5.0,0.0,0.05,0.16,0.22,0.05,0.22,2.2,2.2,6.7,0.06,0.18,0.24,0.06,0.24,Burnley,MF,
Ashley Westwood,eng ENG,29.0,35,35,"3,150",2.0,6.0,0.0,0.0,9.0,0.0,0.06,0.17,0.23,0.06,0.23,1.2,1.2,5.1,0.03,0.14,0.18,0.03,0.18,Burnley,MF,
Ben Mee,eng ENG,29.0,32,32,"2,880",1.0,1.0,0.0,0.0,7.0,0.0,0.03,0.03,0.06,0.03,0.06,1.7,1.7,0.6,0.05,0.02,0.07,0.05,0.07,Burnley,DF,
Jack Cork,eng ENG,30.0,30,30,"2,613",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.7,0.7,0.06,0.02,0.08,0.06,0.08,Burnley,MF,
Chris Wood,nz NZL,27.0,32,29,"2,437",14.0,1.0,1.0,1.0,1.0,0.0,0.52,0.04,0.55,0.48,0.52,12.9,12.1,0.9,0.48,0.03,0.51,0.45,0.48,Burnley,FW,
Charlie Taylor,eng ENG,25.0,24,22,"1,945",0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.05,0.05,0.0,0.05,0.0,0.0,1.4,0.0,0.06,0.07,0.0,0.07,Burnley,DF,
Jeff Hendrick,ie IRL,27.0,24,22,"1,931",2.0,2.0,0.0,0.0,8.0,0.0,0.09,0.09,0.19,0.09,0.19,1.6,1.6,0.8,0.07,0.04,0.11,0.07,0.11,Burnley,MF,
Phil Bardsley,sco SCO,34.0,21,21,"1,890",0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.05,0.05,0.0,0.05,0.2,0.2,0.7,0.01,0.03,0.05,0.01,0.05,Burnley,DF,
Erik Pieters,nl NED,30.0,24,21,"1,878",0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.19,0.19,0.0,0.19,0.6,0.6,2.6,0.03,0.12,0.15,0.03,0.15,Burnley,DF,MF
Jay Rodriguez,eng ENG,30.0,36,20,"2,016",8.0,1.0,1.0,1.0,1.0,0.0,0.36,0.04,0.4,0.31,0.36,8.0,7.2,1.0,0.36,0.04,0.4,0.32,0.37,Burnley,FW,
Matthew Lowton,eng ENG,30.0,17,17,"1,530",0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.06,0.06,0.0,0.06,0.0,0.0,1.1,0.0,0.07,0.07,0.0,0.07,Burnley,DF,
Ashley Barnes,at AUT,29.0,19,17,"1,352",6.0,0.0,1.0,1.0,4.0,0.0,0.4,0.0,0.4,0.33,0.33,5.6,4.8,0.5,0.37,0.03,0.41,0.32,0.36,Burnley,FW,
Josh Brownhill,eng ENG,23.0,10,9,805,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.04,0.02,0.06,0.04,0.06,Burnley,MF,
Matěj Vydra,cz CZE,27.0,19,7,819,2.0,1.0,0.0,0.0,0.0,0.0,0.22,0.11,0.33,0.22,0.33,3.7,3.7,1.0,0.4,0.11,0.51,0.4,0.51,Burnley,FW,
Jóhann Berg Guðmundsson,is ISL,28.0,12,6,621,1.0,1.0,0.0,0.0,0.0,0.0,0.14,0.14,0.29,0.14,0.29,1.1,1.1,0.8,0.16,0.12,0.28,0.16,0.28,Burnley,MF,
Kevin Long,ie IRL,28.0,8,6,564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.03,0.0,0.03,0.03,0.03,Burnley,DF,
Robbie Brady,ie IRL,27.0,17,5,454,1.0,2.0,0.0,0.0,1.0,0.0,0.2,0.4,0.59,0.2,0.59,1.1,1.1,0.3,0.21,0.06,0.27,0.21,0.27,Burnley,MF,
Aaron Lennon,eng ENG,32.0,16,4,496,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.02,0.02,0.0,0.02,Burnley,MF,
Danny Drinkwater,eng ENG,29.0,1,1,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Burnley,MF,
Max Thompson,eng ENG,17.0,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Burnley,FW,
Josh Benson,eng ENG,19.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Burnley,MF,
Anthony Driscoll-Glennon,eng ENG,19.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Burnley,DF,
Jimmy Dunne,ie IRL,21.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Burnley,DF,
