player,nationality,age,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_completed,passes_offsides,passes_oob,passes_intercepted,passes_blocked,team,Pos1,Pos2
Max Meyer,de GER,23.0,7.3,213.0,211.0,2.0,1.0,1.0,52.0,0.0,9,0.0,0.0,0.0,0.0,160.0,31.0,22.0,68.0,132.0,11.0,1.0,0.0,160.0,1.0,1.0,7.0,14.0,Crystal Palace,MF,FW
Wayne Hennessey,wal WAL,32.0,3.0,103.0,51.0,52.0,13.0,0.0,4.0,2.0,0,0.0,0.0,0.0,0.0,13.0,1.0,89.0,9.0,83.0,0.0,0.0,6.0,44.0,1.0,4.0,0.0,0.0,Crystal Palace,GK,
Tyrick Mitchell,eng ENG,19.0,2.2,119.0,91.0,28.0,0.0,0.0,14.0,1.0,4,0.0,0.0,0.0,0.0,69.0,22.0,28.0,84.0,5.0,2.0,28.0,0.0,96.0,0.0,1.0,2.0,6.0,Crystal Palace,DF,
Cenk Tosun,tr TUR,28.0,2.0,47.0,47.0,0.0,0.0,1.0,19.0,0.0,2,0.0,0.0,0.0,0.0,23.0,11.0,13.0,13.0,27.0,2.0,0.0,1.0,29.0,2.0,2.0,3.0,2.0,Crystal Palace,FW,
Connor Wickham,eng ENG,26.0,1.1,44.0,42.0,2.0,0.0,0.0,17.0,2.0,0,0.0,0.0,0.0,0.0,13.0,15.0,16.0,5.0,16.0,12.0,1.0,1.0,29.0,0.0,0.0,1.0,3.0,Crystal Palace,FW,MF
Brandon Pierrick,eng ENG,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Crystal Palace,MF,
Víctor Camarasa,es ESP,25.0,0.1,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,Crystal Palace,MF,
Jordan Pickford,eng ENG,25.0,38.0,1373.0,956.0,417.0,144.0,1.0,137.0,67.0,0,0.0,0.0,0.0,0.0,539.0,77.0,757.0,866.0,236.0,0.0,0.0,179.0,895.0,5.0,59.0,5.0,1.0,Everton,GK,
Richarlison,br BRA,22.0,34.1,823.0,800.0,23.0,2.0,4.0,257.0,11.0,56,2.0,0.0,1.0,0.0,498.0,200.0,125.0,185.0,542.0,43.0,7.0,7.0,543.0,2.0,28.0,24.0,75.0,Everton,FW,
Lucas Digne,fr FRA,26.0,33.7,1946.0,1407.0,539.0,64.0,3.0,294.0,72.0,270,108.0,53.0,39.0,8.0,809.0,438.0,699.0,1281.0,104.0,112.0,367.0,7.0,1353.0,6.0,33.0,35.0,90.0,Everton,DF,
Dominic Calvert-Lewin,eng ENG,22.0,29.2,594.0,568.0,26.0,3.0,3.0,215.0,7.0,19,0.0,0.0,0.0,0.0,271.0,179.0,144.0,60.0,323.0,60.0,1.0,23.0,393.0,3.0,9.0,7.0,25.0,Everton,FW,
Gylfi Sigurðsson,is ISL,29.0,28.4,1110.0,975.0,135.0,42.0,3.0,160.0,50.0,131,71.0,29.0,35.0,5.0,710.0,186.0,214.0,175.0,871.0,38.0,3.0,6.0,868.0,3.0,20.0,14.0,34.0,Everton,MF,
Michael Keane,eng ENG,26.0,28.4,1379.0,1336.0,43.0,39.0,2.0,194.0,37.0,0,0.0,0.0,0.0,0.0,980.0,161.0,238.0,215.0,1003.0,86.0,4.0,5.0,1167.0,5.0,35.0,10.0,14.0,Everton,DF,
Yerry Mina,co COL,24.0,25.4,1251.0,1216.0,35.0,34.0,0.0,212.0,50.0,4,0.0,0.0,0.0,0.0,890.0,140.0,221.0,162.0,967.0,79.0,1.0,1.0,1070.0,3.0,17.0,13.0,10.0,Everton,DF,
Mason Holgate,eng ENG,22.0,22.8,991.0,954.0,37.0,25.0,1.0,127.0,44.0,2,0.0,0.0,0.0,0.0,712.0,99.0,180.0,149.0,758.0,53.0,11.0,0.0,855.0,1.0,23.0,8.0,11.0,Everton,DF,
