player,nationality,age,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_completed,passes_offsides,passes_oob,passes_intercepted,passes_blocked,team,Pos1,Pos2
Tom Davies,eng ENG,21.0,22.5,870.0,840.0,30.0,17.0,6.0,161.0,26.0,8,0.0,0.0,0.0,0.0,557.0,152.0,161.0,103.0,673.0,59.0,5.0,5.0,681.0,3.0,17.0,12.0,26.0,Everton,MF,
Séamus Coleman,ie IRL,30.0,20.4,1058.0,835.0,223.0,13.0,1.0,170.0,15.0,42,0.0,0.0,0.0,0.0,539.0,238.0,281.0,118.0,671.0,44.0,210.0,1.0,813.0,3.0,18.0,21.0,46.0,Everton,DF,
Alex Iwobi,ng NGA,23.0,17.7,614.0,603.0,11.0,3.0,5.0,112.0,26.0,48,1.0,0.0,0.0,0.0,414.0,104.0,96.0,66.0,528.0,9.0,3.0,3.0,462.0,3.0,12.0,14.0,34.0,Everton,MF,FW
Djibril Sidibé,fr FRA,27.0,20.3,1165.0,965.0,200.0,18.0,0.0,184.0,35.0,70,1.0,0.0,0.0,0.0,667.0,269.0,229.0,140.0,774.0,47.0,181.0,2.0,909.0,4.0,20.0,26.0,45.0,Everton,DF,
André Gomes,pt POR,26.0,16.2,859.0,833.0,26.0,16.0,1.0,121.0,65.0,12,1.0,0.0,1.0,0.0,561.0,135.0,163.0,226.0,589.0,28.0,2.0,3.0,719.0,2.0,24.0,11.0,18.0,Everton,MF,
Theo Walcott,eng ENG,30.0,14.3,405.0,394.0,11.0,1.0,3.0,65.0,8.0,41,2.0,1.0,1.0,0.0,243.0,92.0,70.0,28.0,341.0,21.0,8.0,2.0,266.0,0.0,11.0,22.0,30.0,Everton,MF,FW
Bernard,br BRA,26.0,14.2,573.0,559.0,14.0,2.0,4.0,116.0,12.0,36,6.0,5.0,0.0,0.0,419.0,77.0,77.0,147.0,409.0,11.0,1.0,4.0,426.0,0.0,14.0,15.0,31.0,Everton,MF,FW
Fabian Delph,eng ENG,29.0,13.2,778.0,763.0,15.0,11.0,2.0,122.0,28.0,8,0.0,0.0,0.0,0.0,550.0,113.0,115.0,483.0,250.0,28.0,2.0,3.0,676.0,2.0,13.0,6.0,7.0,Everton,MF,
Morgan Schneiderlin,fr FRA,29.0,11.1,567.0,550.0,17.0,10.0,0.0,97.0,30.0,8,0.0,0.0,0.0,0.0,338.0,117.0,112.0,77.0,452.0,22.0,0.0,3.0,494.0,0.0,4.0,6.0,9.0,Everton,MF,
Moise Kean,it ITA,19.0,9.5,142.0,137.0,5.0,1.0,2.0,36.0,2.0,12,0.0,0.0,0.0,0.0,82.0,39.0,21.0,22.0,102.0,7.0,1.0,7.0,104.0,0.0,2.0,5.0,11.0,Everton,FW,
Anthony Gordon,eng ENG,18.0,4.9,124.0,114.0,10.0,6.0,1.0,16.0,2.0,8,0.0,0.0,0.0,0.0,99.0,12.0,13.0,8.0,112.0,3.0,0.0,1.0,96.0,1.0,2.0,1.0,4.0,Everton,MF,FW
Leighton Baines,eng ENG,34.0,4.5,209.0,158.0,51.0,5.0,0.0,18.0,8.0,27,11.0,4.0,2.0,5.0,115.0,40.0,54.0,141.0,20.0,9.0,35.0,0.0,168.0,2.0,0.0,2.0,9.0,Everton,DF,
Jarrad Branthwaite,eng ENG,17.0,3.3,212.0,206.0,6.0,4.0,0.0,9.0,5.0,0,0.0,0.0,0.0,0.0,173.0,12.0,27.0,148.0,55.0,7.0,0.0,0.0,187.0,0.0,8.0,0.0,0.0,Everton,DF,
Cenk Tosun,tr TUR,28.0,3.2,62.0,61.0,1.0,0.0,0.0,19.0,3.0,2,0.0,0.0,0.0,0.0,28.0,21.0,13.0,17.0,34.0,6.0,0.0,3.0,42.0,0.0,2.0,2.0,5.0,Everton,FW,
Jean-Philippe Gbamin,ci CIV,23.0,1.5,67.0,64.0,3.0,3.0,0.0,9.0,3.0,0,0.0,0.0,0.0,0.0,46.0,7.0,14.0,7.0,55.0,4.0,0.0,0.0,50.0,0.0,6.0,0.0,5.0,Everton,MF,
Oumar Niasse,sn SEN,29.0,0.2,5.0,5.0,0.0,0.0,0.0,2.0,0.0,1,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,Everton,FW,
Kasper Schmeichel,dk DEN,32.0,38.0,1178.0,820.0,358.0,116.0,1.0,110.0,65.0,0,0.0,0.0,0.0,0.0,614.0,100.0,464.0,55.0,917.0,3.0,0.0,152.0,904.0,6.0,42.0,4.0,3.0,Leicester City,GK,
Jonny Evans,nir NIR,31.0,37.6,2372.0,2285.0,87.0,72.0,2.0,305.0,60.0,8,0.0,0.0,0.0,0.0,1764.0,219.0,389.0,590.0,1585.0,117.0,15.0,5.0,2088.0,2.0,44.0,12.0,12.0,Leicester City,DF,
Çağlar Söyüncü,tr TUR,23.0,33.7,2239.0,2187.0,52.0,44.0,0.0,259.0,53.0,4,0.0,0.0,0.0,0.0,1801.0,194.0,244.0,437.0,1653.0,84.0,8.0,9.0,2035.0,8.0,24.0,11.0,19.0,Leicester City,DF,
Jamie Vardy,eng ENG,32.0,33.7,462.0,403.0,59.0,0.0,2.0,97.0,9.0,33,0.0,0.0,0.0,0.0,275.0,100.0,87.0,82.0,301.0,37.0,5.0,7.0,314.0,0.0,10.0,12.0,28.0,Leicester City,FW,
Youri Tielemans,be BEL,22.0,31.4,1804.0,1703.0,101.0,46.0,9.0,363.0,65.0,82,41.0,7.0,20.0,5.0,1246.0,256.0,302.0,318.0,1393.0,45.0,12.0,14.0,1455.0,10.0,21.0,21.0,38.0,Leicester City,MF,
Wilfred Ndidi,ng NGA,22.0,29.7,1649.0,1626.0,23.0,23.0,1.0,306.0,50.0,3,0.0,0.0,0.0,0.0,1175.0,262.0,212.0,180.0,1341.0,75.0,0.0,4.0,1416.0,2.0,34.0,26.0,29.0,Leicester City,MF,
James Maddison,eng ENG,22.0,29.2,1674.0,1422.0,252.0,82.0,16.0,264.0,93.0,220,157.0,43.0,76.0,15.0,1051.0,247.0,376.0,158.0,1462.0,31.0,7.0,11.0,1282.0,8.0,30.0,36.0,39.0,Leicester City,MF,
Ricardo Pereira,pt POR,25.0,28.0,1875.0,1553.0,322.0,17.0,3.0,335.0,20.0,57,0.0,0.0,0.0,0.0,1095.0,399.0,381.0,195.0,1312.0,41.0,305.0,4.0,1513.0,3.0,18.0,46.0,67.0,Leicester City,DF,
Ben Chilwell,eng ENG,22.0,26.4,1956.0,1653.0,303.0,32.0,3.0,324.0,40.0,104,7.0,0.0,3.0,0.0,1165.0,381.0,410.0,1414.0,183.0,53.0,264.0,4.0,1528.0,3.0,42.0,32.0,63.0,Leicester City,DF,
Ayoze Pérez,es ESP,26.0,22.3,773.0,753.0,20.0,5.0,8.0,198.0,9.0,29,0.0,0.0,0.0,0.0,537.0,157.0,79.0,70.0,650.0,18.0,6.0,13.0,616.0,2.0,13.0,13.0,41.0,Leicester City,MF,FW
Harvey Barnes,eng ENG,21.0,23.1,729.0,725.0,4.0,2.0,3.0,181.0,8.0,42,0.0,0.0,0.0,0.0,504.0,123.0,102.0,108.0,569.0,22.0,2.0,9.0,559.0,4.0,10.0,21.0,34.0,Leicester City,MF,FW
Dennis Praet,be BEL,25.0,12.6,539.0,532.0,7.0,3.0,2.0,106.0,10.0,21,0.0,0.0,0.0,0.0,359.0,95.0,85.0,39.0,451.0,39.0,3.0,3.0,446.0,1.0,7.0,6.0,18.0,Leicester City,MF,
Kelechi Iheanacho,ng NGA,22.0,10.7,268.0,262.0,6.0,0.0,7.0,84.0,4.0,2,0.0,0.0,0.0,0.0,209.0,40.0,19.0,231.0,23.0,9.0,0.0,3.0,217.0,0.0,3.0,6.0,16.0,Leicester City,FW,
James Justin,eng ENG,21.0,11.2,802.0,688.0,114.0,12.0,1.0,106.0,10.0,38,0.0,0.0,0.0,0.0,499.0,169.0,134.0,121.0,530.0,38.0,102.0,2.0,651.0,0.0,16.0,8.0,32.0,Leicester City,DF,
Hamza Choudhury,eng ENG,21.0,9.9,494.0,481.0,13.0,12.0,0.0,65.0,5.0,4,0.0,0.0,0.0,0.0,389.0,45.0,60.0,35.0,418.0,34.0,0.0,1.0,428.0,0.0,4.0,8.0,9.0,Leicester City,MF,
Marc Albrighton,eng ENG,29.0,9.6,508.0,473.0,35.0,0.0,1.0,81.0,25.0,68,10.0,2.0,6.0,0.0,292.0,82.0,134.0,51.0,411.0,17.0,25.0,3.0,344.0,0.0,14.0,10.0,30.0,Leicester City,MF,DF
Christian Fuchs,at AUT,33.0,8.6,630.0,544.0,86.0,12.0,1.0,87.0,17.0,16,0.0,0.0,0.0,0.0,389.0,122.0,119.0,457.0,60.0,25.0,74.0,1.0,510.0,1.0,12.0,11.0,12.0,Leicester City,DF,
Wes Morgan,jm JAM,35.0,4.8,238.0,234.0,4.0,4.0,0.0,22.0,0.0,0,0.0,0.0,0.0,0.0,203.0,16.0,19.0,29.0,192.0,11.0,0.0,2.0,220.0,2.0,2.0,0.0,2.0,Leicester City,DF,
Nampalys Mendy,fr FRA,27.0,3.2,212.0,211.0,1.0,1.0,0.0,29.0,4.0,2,0.0,0.0,0.0,0.0,172.0,21.0,19.0,20.0,187.0,4.0,0.0,0.0,194.0,1.0,3.0,2.0,1.0,Leicester City,MF,
Demarai Gray,eng ENG,23.0,6.9,326.0,312.0,14.0,4.0,3.0,70.0,11.0,31,6.0,3.0,1.0,1.0,244.0,48.0,34.0,27.0,286.0,2.0,4.0,5.0,271.0,2.0,4.0,3.0,14.0,Leicester City,MF,FW
Ryan Bennett,eng ENG,29.0,3.7,221.0,200.0,21.0,1.0,0.0,31.0,5.0,2,0.0,0.0,0.0,0.0,128.0,26.0,67.0,21.0,162.0,11.0,20.0,1.0,174.0,0.0,6.0,2.0,4.0,Leicester City,DF,
Luke Thomas,eng ENG,,3.0,190.0,162.0,28.0,2.0,0.0,13.0,3.0,16,0.0,0.0,0.0,0.0,119.0,40.0,31.0,138.0,17.0,9.0,26.0,0.0,156.0,0.0,4.0,1.0,5.0,Leicester City,DF,
George Hirst,eng ENG,20.0,0.1,8.0,8.0,0.0,0.0,0.0,4.0,0.0,0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,5.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,Leicester City,FW,
Matty James,eng ENG,28.0,0.1,6.0,6.0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,Leicester City,MF,
Virgil van Dijk,nl NED,28.0,38.0,3085.0,3000.0,85.0,74.0,8.0,322.0,131.0,0,0.0,0.0,0.0,0.0,2330.0,265.0,490.0,345.0,2476.0,152.0,11.0,6.0,2791.0,1.0,43.0,13.0,10.0,Liverpool,DF,
Trent Alexander-Arnold,eng ENG,20.0,35.3,3147.0,2495.0,652.0,86.0,8.0,413.0,226.0,377,162.0,43.0,74.0,8.0,1472.0,567.0,1108.0,313.0,2330.0,83.0,404.0,7.0,2254.0,11.0,84.0,35.0,111.0,Liverpool,DF,
Georginio Wijnaldum,nl NED,28.0,32.6,1628.0,1600.0,28.0,15.0,4.0,276.0,31.0,5,0.0,0.0,0.0,0.0,1298.0,196.0,134.0,171.0,1359.0,53.0,13.0,7.0,1477.0,1.0,9.0,17.0,27.0,Liverpool,MF,
Andrew Robertson,sco SCO,25.0,34.6,2928.0,2536.0,392.0,49.0,5.0,319.0,85.0,204,43.0,7.0,26.0,1.0,1834.0,521.0,573.0,2332.0,186.0,93.0,300.0,2.0,2370.0,4.0,44.0,36.0,82.0,Liverpool,DF,
Roberto Firmino,br BRA,27.0,33.2,1171.0,1141.0,30.0,3.0,8.0,306.0,8.0,8,0.0,0.0,0.0,0.0,874.0,205.0,92.0,152.0,927.0,55.0,11.0,13.0,931.0,3.0,7.0,51.0,55.0,Liverpool,FW,
Mohamed Salah,eg EGY,27.0,32.0,1004.0,952.0,52.0,4.0,13.0,240.0,19.0,45,28.0,3.0,15.0,3.0,712.0,159.0,133.0,792.0,166.0,18.0,8.0,11.0,746.0,3.0,15.0,27.0,47.0,Liverpool,FW,
Sadio Mané,sn SEN,27.0,30.5,1162.0,1141.0,21.0,8.0,10.0,244.0,26.0,49,0.0,0.0,0.0,0.0,766.0,243.0,153.0,235.0,839.0,39.0,10.0,15.0,933.0,3.0,17.0,29.0,50.0,Liverpool,FW,
Alisson,br BRA,26.0,28.3,925.0,701.0,224.0,54.0,1.0,131.0,28.0,0,0.0,0.0,0.0,0.0,590.0,85.0,250.0,65.0,688.0,2.0,0.0,132.0,794.0,2.0,19.0,3.0,0.0,Liverpool,GK,
Jordan Henderson,eng ENG,29.0,24.9,1879.0,1834.0,45.0,16.0,14.0,275.0,73.0,58,1.0,0.0,0.0,0.0,1224.0,270.0,385.0,209.0,1565.0,68.0,13.0,4.0,1582.0,4.0,20.0,15.0,40.0,Liverpool,MF,
Fabinho,br BRA,25.0,23.1,1528.0,1505.0,23.0,16.0,5.0,242.0,38.0,9,0.0,0.0,0.0,0.0,1051.0,211.0,266.0,105.0,1318.0,68.0,4.0,2.0,1334.0,2.0,18.0,9.0,15.0,Liverpool,MF,
Joe Gomez,eng ENG,22.0,22.3,1960.0,1910.0,50.0,35.0,1.0,211.0,63.0,9,0.0,0.0,0.0,0.0,1469.0,187.0,304.0,128.0,1669.0,89.0,15.0,1.0,1743.0,2.0,22.0,5.0,11.0,Liverpool,DF,
Alex Oxlade-Chamberlain,eng ENG,25.0,16.5,748.0,733.0,15.0,1.0,4.0,136.0,32.0,45,0.0,0.0,0.0,0.0,464.0,124.0,160.0,87.0,609.0,27.0,6.0,7.0,592.0,3.0,22.0,17.0,23.0,Liverpool,MF,FW
James Milner,eng ENG,33.0,10.4,773.0,707.0,66.0,12.0,4.0,114.0,35.0,20,8.0,3.0,2.0,1.0,522.0,135.0,116.0,78.0,633.0,15.0,34.0,3.0,664.0,3.0,13.0,10.0,15.0,Liverpool,MF,DF
Adrián,es ESP,32.0,9.7,314.0,219.0,95.0,27.0,0.0,40.0,12.0,0,0.0,0.0,0.0,0.0,150.0,24.0,140.0,31.0,217.0,1.0,0.0,49.0,227.0,0.0,9.0,0.0,1.0,Liverpool,GK,
Naby Keïta,gn GUI,24.0,9.1,684.0,676.0,8.0,2.0,5.0,114.0,9.0,7,2.0,0.0,0.0,0.0,514.0,112.0,58.0,86.0,567.0,18.0,3.0,2.0,608.0,1.0,8.0,10.0,15.0,Liverpool,MF,
Dejan Lovren,hr CRO,30.0,8.6,603.0,587.0,16.0,15.0,1.0,64.0,16.0,1,0.0,0.0,0.0,0.0,411.0,80.0,112.0,114.0,433.0,41.0,1.0,1.0,530.0,0.0,12.0,3.0,5.0,Liverpool,DF,
Joël Matip,cm CMR,27.0,7.8,514.0,498.0,16.0,12.0,0.0,74.0,13.0,1,0.0,0.0,0.0,0.0,384.0,62.0,68.0,56.0,417.0,23.0,4.0,1.0,448.0,0.0,14.0,7.0,3.0,Liverpool,DF,
Divock Origi,be BEL,24.0,8.0,219.0,217.0,2.0,0.0,0.0,66.0,13.0,18,0.0,0.0,0.0,0.0,139.0,37.0,43.0,29.0,165.0,10.0,1.0,3.0,158.0,1.0,6.0,4.0,8.0,Liverpool,FW,
Adam Lallana,eng ENG,31.0,4.2,270.0,268.0,2.0,1.0,0.0,48.0,4.0,3,0.0,0.0,0.0,0.0,204.0,38.0,28.0,77.0,170.0,13.0,1.0,3.0,229.0,2.0,0.0,4.0,9.0,Liverpool,MF,FW
Neco Williams,wal WAL,18.0,2.6,205.0,166.0,39.0,4.0,1.0,18.0,10.0,14,3.0,1.0,2.0,0.0,115.0,32.0,58.0,8.0,155.0,9.0,32.0,0.0,165.0,0.0,6.0,2.0,9.0,Liverpool,DF,
Takumi Minamino,jp JPN,24.0,2.8,111.0,110.0,1.0,1.0,0.0,26.0,2.0,3,0.0,0.0,0.0,0.0,89.0,9.0,13.0,20.0,84.0,1.0,0.0,1.0,98.0,0.0,1.0,0.0,1.0,Liverpool,FW,MF
Xherdan Shaqiri,ch SUI,27.0,2.1,109.0,96.0,13.0,2.0,0.0,21.0,3.0,6,6.0,3.0,1.0,0.0,62.0,26.0,21.0,82.0,17.0,2.0,5.0,0.0,90.0,2.0,0.0,4.0,2.0,Liverpool,FW,
Curtis Jones,eng ENG,18.0,1.4,128.0,128.0,0.0,0.0,0.0,23.0,3.0,0,0.0,0.0,0.0,0.0,103.0,13.0,12.0,16.0,105.0,5.0,0.0,0.0,111.0,0.0,1.0,2.0,2.0,Liverpool,MF,
Harvey Elliot,eng ENG,16.0,0.1,15.0,11.0,4.0,0.0,0.0,0.0,1.0,3,3.0,0.0,2.0,0.0,8.0,3.0,4.0,13.0,1.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,Liverpool,DF,
Ederson,br BRA,25.0,34.1,1063.0,878.0,185.0,45.0,1.0,117.0,38.0,0,0.0,0.0,0.0,0.0,790.0,59.0,214.0,737.0,143.0,3.0,1.0,161.0,927.0,3.0,17.0,4.0,1.0,Manchester City,GK,
Kevin De Bruyne,be BEL,28.0,31.0,2244.0,1975.0,269.0,52.0,32.0,365.0,135.0,304,177.0,62.0,51.0,17.0,1475.0,310.0,459.0,262.0,1888.0,41.0,36.0,3.0,1674.0,13.0,38.0,61.0,96.0,Manchester City,MF,
Raheem Sterling,eng ENG,24.0,29.5,1217.0,1197.0,20.0,1.0,4.0,290.0,4.0,50,1.0,0.0,0.0,0.0,965.0,150.0,102.0,133.0,1027.0,19.0,13.0,14.0,983.0,1.0,13.0,33.0,55.0,Manchester City,FW,
Rodri,es ESP,23.0,27.6,2537.0,2505.0,32.0,30.0,0.0,478.0,100.0,8,0.0,0.0,0.0,0.0,1978.0,272.0,287.0,339.0,2056.0,87.0,2.0,12.0,2363.0,1.0,21.0,17.0,19.0,Manchester City,MF,
Kyle Walker,eng ENG,29.0,26.6,2144.0,1922.0,222.0,27.0,2.0,252.0,83.0,55,1.0,0.0,0.0,0.0,1514.0,353.0,277.0,57.0,1801.0,52.0,194.0,19.0,1884.0,4.0,25.0,28.0,45.0,Manchester City,DF,
Fernandinho,br BRA,34.0,26.6,2190.0,2134.0,56.0,44.0,2.0,249.0,76.0,5,0.0,0.0,0.0,0.0,1709.0,193.0,288.0,243.0,1800.0,83.0,12.0,10.0,1985.0,6.0,23.0,12.0,22.0,Manchester City,DF,
Bernardo Silva,pt POR,24.0,22.6,1450.0,1394.0,56.0,10.0,3.0,251.0,24.0,71,19.0,1.0,1.0,0.0,1102.0,210.0,138.0,1280.0,95.0,40.0,24.0,2.0,1262.0,2.0,6.0,15.0,39.0,Manchester City,FW,MF
David Silva,es ESP,33.0,20.3,1513.0,1455.0,58.0,18.0,11.0,269.0,12.0,35,10.0,1.0,2.0,0.0,1231.0,183.0,99.0,1292.0,189.0,16.0,5.0,5.0,1319.0,6.0,14.0,34.0,39.0,Manchester City,MF,
Gabriel Jesus,br BRA,22.0,22.6,608.0,589.0,19.0,0.0,2.0,145.0,8.0,6,1.0,0.0,0.0,0.0,467.0,92.0,49.0,71.0,485.0,17.0,4.0,11.0,532.0,1.0,6.0,13.0,18.0,Manchester City,FW,
İlkay Gündoğan,de GER,28.0,22.4,1956.0,1895.0,61.0,28.0,11.0,348.0,44.0,30,23.0,10.0,4.0,2.0,1515.0,251.0,190.0,540.0,1353.0,42.0,5.0,3.0,1779.0,3.0,13.0,24.0,24.0,Manchester City,MF,
Riyad Mahrez,dz ALG,28.0,21.6,1188.0,1113.0,75.0,11.0,23.0,202.0,50.0,88,55.0,25.0,3.0,6.0,890.0,138.0,160.0,1039.0,114.0,15.0,9.0,3.0,1009.0,5.0,16.0,19.0,27.0,Manchester City,FW,
Nicolás Otamendi,ar ARG,31.0,19.1,1488.0,1474.0,14.0,10.0,0.0,142.0,35.0,0,0.0,0.0,0.0,0.0,1254.0,100.0,134.0,112.0,1299.0,38.0,4.0,4.0,1380.0,2.0,12.0,11.0,13.0,Manchester City,DF,
Benjamin Mendy,fr FRA,25.0,16.6,1285.0,1158.0,127.0,13.0,0.0,160.0,33.0,86,0.0,0.0,0.0,0.0,900.0,225.0,160.0,1036.0,103.0,21.0,114.0,1.0,1108.0,5.0,14.0,18.0,32.0,Manchester City,DF,
Sergio Agüero,ar ARG,31.0,16.1,367.0,349.0,18.0,1.0,5.0,90.0,1.0,10,0.0,0.0,0.0,0.0,273.0,71.0,23.0,41.0,303.0,11.0,1.0,9.0,284.0,0.0,4.0,11.0,15.0,Manchester City,FW,
Aymeric Laporte,fr FRA,25.0,12.2,1114.0,1093.0,21.0,14.0,0.0,125.0,35.0,0,0.0,0.0,0.0,0.0,913.0,102.0,99.0,838.0,202.0,42.0,7.0,6.0,1041.0,0.0,5.0,4.0,10.0,Manchester City,DF,
Oleksandr Zinchenko,ua UKR,22.0,14.2,1348.0,1232.0,116.0,9.0,2.0,157.0,20.0,53,3.0,0.0,0.0,1.0,986.0,208.0,154.0,1090.0,91.0,44.0,104.0,4.0,1198.0,4.0,7.0,14.0,22.0,Manchester City,DF,
João Cancelo,pt POR,25.0,13.4,1147.0,1044.0,103.0,6.0,4.0,141.0,27.0,47,1.0,0.0,1.0,0.0,825.0,189.0,133.0,141.0,869.0,28.0,96.0,3.0,1008.0,4.0,14.0,16.0,21.0,Manchester City,DF,
John Stones,eng ENG,25.0,12.5,1016.0,1001.0,15.0,11.0,0.0,136.0,36.0,0,0.0,0.0,0.0,0.0,847.0,72.0,97.0,103.0,839.0,43.0,4.0,3.0,966.0,1.0,4.0,2.0,4.0,Manchester City,DF,
Phil Foden,eng ENG,19.0,10.0,508.0,494.0,14.0,4.0,4.0,74.0,17.0,28,6.0,2.0,1.0,0.0,398.0,51.0,59.0,450.0,37.0,11.0,4.0,2.0,431.0,0.0,6.0,2.0,15.0,Manchester City,FW,MF
Eric García,es ESP,18.0,8.8,705.0,698.0,7.0,6.0,0.0,51.0,17.0,1,0.0,0.0,0.0,0.0,641.0,29.0,35.0,63.0,625.0,11.0,1.0,1.0,672.0,1.0,3.0,2.0,4.0,Manchester City,DF,
Angeliño,es ESP,22.0,4.7,426.0,377.0,49.0,3.0,0.0,70.0,7.0,42,0.0,0.0,0.0,0.0,267.0,78.0,81.0,342.0,15.0,18.0,46.0,1.0,335.0,1.0,9.0,5.0,14.0,Manchester City,DF,
Claudio Bravo,cl CHI,36.0,3.9,132.0,96.0,36.0,8.0,0.0,20.0,5.0,0,0.0,0.0,0.0,0.0,69.0,15.0,48.0,11.0,105.0,0.0,0.0,13.0,101.0,0.0,4.0,2.0,0.0,Manchester City,GK,
Thomas Doyle,eng ENG,17.0,0.2,19.0,18.0,1.0,1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,4.0,15.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,Manchester City,MF,FW
Leroy Sané,de GER,23.0,0.1,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,Manchester City,FW,
David de Gea,es ESP,28.0,38.0,934.0,590.0,344.0,78.0,0.0,108.0,23.0,0,0.0,0.0,0.0,0.0,545.0,80.0,309.0,55.0,695.0,0.0,1.0,148.0,726.0,1.0,18.0,3.0,5.0,Manchester Utd,GK,
Harry Maguire,eng ENG,26.0,38.0,2403.0,2327.0,76.0,66.0,1.0,362.0,91.0,2,0.0,0.0,0.0,0.0,1787.0,268.0,348.0,320.0,1862.0,119.0,10.0,11.0,2127.0,5.0,45.0,21.0,11.0,Manchester Utd,DF,
Victor Lindelöf,se SWE,25.0,34.4,2013.0,1955.0,58.0,46.0,2.0,276.0,30.0,2,0.0,0.0,0.0,0.0,1572.0,199.0,242.0,253.0,1606.0,76.0,12.0,14.0,1764.0,2.0,33.0,25.0,20.0,Manchester Utd,DF,
Aaron Wan-Bissaka,eng ENG,21.0,34.1,2064.0,1680.0,384.0,16.0,0.0,299.0,16.0,102,0.0,0.0,0.0,0.0,1334.0,407.0,323.0,79.0,1558.0,43.0,368.0,2.0,1676.0,5.0,23.0,35.0,94.0,Manchester Utd,DF,
Marcus Rashford,eng ENG,21.0,29.4,988.0,961.0,27.0,2.0,8.0,162.0,25.0,32,9.0,5.0,1.0,2.0,742.0,120.0,126.0,89.0,833.0,28.0,8.0,14.0,758.0,3.0,18.0,26.0,43.0,Manchester Utd,FW,
Anthony Martial,fr FRA,23.0,29.2,721.0,692.0,29.0,4.0,5.0,203.0,3.0,11,0.0,0.0,0.0,0.0,587.0,94.0,40.0,123.0,560.0,12.0,4.0,6.0,575.0,2.0,7.0,14.0,43.0,Manchester Utd,FW,
Daniel James,wal WAL,21.0,25.4,803.0,789.0,14.0,4.0,3.0,183.0,21.0,96,3.0,1.0,1.0,0.0,588.0,118.0,97.0,99.0,681.0,14.0,5.0,1.0,586.0,3.0,18.0,15.0,63.0,Manchester Utd,FW,
Fred,br BRA,26.0,24.0,1714.0,1608.0,106.0,53.0,3.0,344.0,83.0,63,42.0,15.0,16.0,0.0,1231.0,232.0,251.0,1200.0,466.0,29.0,8.0,6.0,1463.0,2.0,18.0,20.0,37.0,Manchester Utd,MF,
Scott McTominay,sco SCO,22.0,19.7,995.0,966.0,29.0,28.0,2.0,158.0,47.0,14,0.0,0.0,0.0,0.0,745.0,111.0,139.0,44.0,878.0,45.0,1.0,5.0,816.0,2.0,18.0,21.0,25.0,Manchester Utd,MF,
Luke Shaw,eng ENG,24.0,19.3,1296.0,1137.0,159.0,19.0,1.0,242.0,14.0,37,5.0,4.0,0.0,0.0,910.0,203.0,183.0,972.0,111.0,55.0,135.0,3.0,1121.0,1.0,12.0,19.0,37.0,Manchester Utd,DF,
Nemanja Matić,rs SRB,30.0,17.6,1240.0,1210.0,30.0,26.0,1.0,220.0,30.0,3,0.0,0.0,0.0,0.0,979.0,125.0,136.0,1029.0,147.0,40.0,4.0,5.0,1095.0,1.0,11.0,17.0,22.0,Manchester Utd,MF,
Andreas Pereira,br BRA,23.0,16.5,770.0,692.0,78.0,23.0,1.0,157.0,30.0,62,37.0,14.0,12.0,3.0,518.0,125.0,127.0,89.0,634.0,23.0,9.0,3.0,566.0,4.0,11.0,22.0,27.0,Manchester Utd,MF,FW
Bruno Fernandes,pt POR,24.0,13.2,853.0,751.0,102.0,27.0,4.0,140.0,53.0,75,55.0,15.0,24.0,7.0,528.0,138.0,187.0,64.0,768.0,13.0,5.0,2.0,608.0,3.0,12.0,23.0,39.0,Manchester Utd,MF,
Paul Pogba,fr FRA,26.0,13.4,1026.0,998.0,28.0,27.0,6.0,214.0,63.0,6,0.0,0.0,0.0,0.0,735.0,136.0,155.0,112.0,864.0,24.0,1.0,7.0,880.0,5.0,10.0,16.0,23.0,Manchester Utd,MF,
Mason Greenwood,eng ENG,17.0,14.7,488.0,485.0,3.0,0.0,0.0,101.0,12.0,10,2.0,0.0,1.0,0.0,391.0,51.0,46.0,382.0,93.0,9.0,0.0,0.0,416.0,1.0,6.0,7.0,11.0,Manchester Utd,FW,
Brandon Williams,eng ENG,18.0,11.2,636.0,553.0,83.0,7.0,1.0,91.0,6.0,13,1.0,0.0,0.0,0.0,452.0,98.0,86.0,157.0,380.0,15.0,75.0,1.0,531.0,3.0,8.0,15.0,12.0,Manchester Utd,DF,
