player,nationality,age,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,team,Pos1,Pos2
Charlie Daniels,eng ENG,32.0,1.4,0,0,0,0,0,0,5,1,0,0.0,0.0,0,9.0,2.0,1.0,66.7,Bournemouth,DF,
Jack Simpson,eng ENG,22.0,2.7,0,0,0,1,1,0,0,2,2,0.0,0.0,0,22.0,4.0,2.0,66.7,Bournemouth,DF,
Mark Travers,ie IRL,20.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,6.0,0.0,0.0,0.0,Bournemouth,GK,
Jordon Ibe,eng ENG,23.0,0.6,0,0,0,0,2,0,3,0,3,0.0,0.0,0,7.0,0.0,0.0,0.0,Bournemouth,DF,
Sam Surridge,eng ENG,21.0,0.3,0,0,0,1,1,0,1,1,0,0.0,0.0,0,1.0,4.0,4.0,50.0,Bournemouth,FW,
Mathew Ryan,au AUS,27.0,38.0,0,0,0,0,4,0,0,2,0,0.0,0.0,0,184.0,0.0,0.0,0.0,Brighton,GK,
Lewis Dunk,eng ENG,27.0,35.9,9,0,0,19,19,1,1,54,28,0.0,0.0,0,410.0,84.0,44.0,65.6,Brighton,DF,
Dan Burn,eng ENG,27.0,32.0,5,0,0,32,13,3,52,37,36,0.0,0.0,0,308.0,137.0,52.0,72.5,Brighton,DF,
Davy Pröpper,nl NED,27.0,31.4,4,0,0,31,18,0,37,30,38,0.0,0.0,0,365.0,24.0,26.0,48.0,Brighton,MF,
Adam Webster,eng ENG,24.0,29.6,4,0,0,13,19,0,6,43,25,0.0,2.0,1,363.0,119.0,51.0,70.0,Brighton,DF,
Neal Maupay,fr FRA,22.0,30.7,3,0,0,37,46,15,12,5,17,0.0,0.0,0,141.0,17.0,85.0,16.7,Brighton,FW,
Dale Stephens,eng ENG,30.0,28.1,8,0,0,41,7,0,4,58,40,0.0,0.0,0,315.0,20.0,23.0,46.5,Brighton,MF,
Aaron Mooy,au AUS,28.0,23.2,3,1,1,13,11,0,107,23,31,0.0,0.0,0,189.0,14.0,28.0,33.3,Brighton,MF,FW
Martín Montoya,es ESP,28.0,21.1,5,0,0,27,15,4,45,29,28,0.0,0.0,0,161.0,27.0,19.0,58.7,Brighton,DF,
Leandro Trossard,be BEL,24.0,22.3,0,0,0,13,11,4,76,8,16,0.0,0.0,0,138.0,2.0,22.0,8.3,Brighton,FW,MF
Pascal Groß,de GER,28.0,20.0,4,0,0,25,12,8,146,9,21,0.0,0.0,1,123.0,15.0,33.0,31.3,Brighton,FW,MF
Yves Bissouma,ml MLI,22.0,14.0,4,0,0,31,15,0,6,22,36,0.0,0.0,0,157.0,17.0,11.0,60.7,Brighton,MF,
Aaron Connolly,ie IRL,19.0,14.0,0,0,0,16,38,14,9,0,8,2.0,0.0,0,54.0,14.0,48.0,22.6,Brighton,FW,
Shane Duffy,ie IRL,27.0,13.8,2,0,0,14,10,0,1,21,9,0.0,0.0,0,136.0,63.0,17.0,78.8,Brighton,DF,
Steven Alzate,co COL,20.0,13.2,1,0,0,17,18,3,9,13,23,0.0,0.0,0,137.0,14.0,11.0,56.0,Brighton,MF,DF
Solly March,eng ENG,25.0,12.7,2,0,0,11,12,2,64,21,17,0.0,0.0,0,99.0,15.0,15.0,50.0,Brighton,DF,FW
Glenn Murray,eng ENG,35.0,8.9,0,0,0,15,15,10,4,1,2,0.0,0.0,0,36.0,30.0,42.0,41.7,Brighton,FW,
Bernardo,br BRA,24.0,7.5,1,0,0,3,2,4,17,7,16,0.0,0.0,0,71.0,28.0,9.0,75.7,Brighton,DF,
Tariq Lamptey,eng ENG,18.0,6.5,2,0,0,13,17,0,22,18,3,0.0,0.0,0,57.0,4.0,8.0,33.3,Brighton,DF,
Ezequiel Schelotto,it ITA,30.0,4.0,2,0,0,6,4,1,16,7,5,0.0,0.0,0,31.0,8.0,2.0,80.0,Brighton,DF,
Alexis Mac Allister,ar ARG,20.0,3.9,0,0,0,4,4,1,23,1,4,0.0,0.0,0,31.0,4.0,4.0,50.0,Brighton,MF,FW
Alireza Jahanbakhsh,ir IRN,25.0,3.5,0,0,0,2,7,1,24,1,3,0.0,0.0,0,32.0,0.0,5.0,0.0,Brighton,FW,MF
Jürgen Locadia,nl NED,25.0,1.0,0,0,0,0,2,0,1,0,1,0.0,0.0,0,8.0,1.0,2.0,33.3,Brighton,MF,FW
Florin Andone,ro ROU,26.0,0.8,0,1,0,2,3,0,0,0,2,0.0,0.0,0,7.0,2.0,3.0,40.0,Brighton,MF,FW
Gaëtan Bong,cm CMR,31.0,0.7,0,0,0,0,1,0,5,0,0,0.0,0.0,0,4.0,0.0,3.0,0.0,Brighton,MF,DF
Nick Pope,eng ENG,27.0,38.0,1,0,0,0,6,0,0,2,0,0.0,0.0,0,193.0,0.0,0.0,0.0,Burnley,GK,
James Tarkowski,eng ENG,26.0,38.0,10,0,0,48,31,3,4,61,51,0.0,0.0,0,442.0,215.0,60.0,78.2,Burnley,DF,
Dwight McNeil,eng ENG,19.0,37.1,5,0,0,29,41,0,256,28,28,0.0,0.0,0,327.0,27.0,27.0,50.0,Burnley,MF,
Ashley Westwood,eng ENG,29.0,35.0,9,0,0,33,33,1,146,32,30,0.0,0.0,0,437.0,17.0,28.0,37.8,Burnley,MF,
Ben Mee,eng ENG,29.0,32.0,7,0,0,26,21,3,2,44,16,0.0,3.0,0,343.0,143.0,78.0,64.7,Burnley,DF,
Jack Cork,eng ENG,30.0,29.0,1,0,0,32,25,1,6,29,27,0.0,0.0,0,339.0,53.0,64.0,45.3,Burnley,MF,
Chris Wood,nz NZL,27.0,27.1,1,0,0,34,28,34,8,4,6,0.0,0.0,1,88.0,113.0,188.0,37.5,Burnley,FW,
Charlie Taylor,eng ENG,25.0,21.6,3,0,0,17,28,2,88,29,16,0.0,0.0,0,198.0,47.0,31.0,60.3,Burnley,DF,
Jeff Hendrick,ie IRL,27.0,21.5,8,0,0,17,16,4,31,19,10,0.0,0.0,0,175.0,21.0,24.0,46.7,Burnley,MF,
Phil Bardsley,sco SCO,34.0,21.0,6,0,0,36,14,0,30,29,33,0.0,0.0,0,197.0,33.0,26.0,55.9,Burnley,DF,
Erik Pieters,nl NED,30.0,20.9,2,0,0,21,20,0,41,27,41,0.0,1.0,0,186.0,33.0,15.0,68.8,Burnley,DF,MF
Jay Rodriguez,eng ENG,30.0,22.4,1,0,0,26,15,22,14,5,17,0.0,0.0,0,118.0,74.0,139.0,34.7,Burnley,FW,
Matthew Lowton,eng ENG,30.0,17.0,2,0,0,14,11,0,43,26,24,0.0,1.0,0,135.0,24.0,14.0,63.2,Burnley,DF,
Ashley Barnes,at AUT,29.0,15.0,4,0,0,35,40,13,5,6,4,1.0,0.0,0,65.0,42.0,86.0,32.8,Burnley,FW,
Josh Brownhill,eng ENG,23.0,8.9,2,0,0,6,9,0,2,13,8,0.0,0.0,0,104.0,20.0,15.0,57.1,Burnley,MF,
Matěj Vydra,cz CZE,27.0,9.1,0,0,0,1,12,3,3,1,2,0.0,0.0,0,37.0,17.0,42.0,28.8,Burnley,FW,
Jóhann Berg Guðmundsson,is ISL,28.0,6.9,0,0,0,8,4,1,35,7,3,0.0,0.0,0,45.0,9.0,14.0,39.1,Burnley,MF,
Kevin Long,ie IRL,28.0,6.3,0,0,0,9,6,0,0,4,8,0.0,0.0,0,64.0,22.0,16.0,57.9,Burnley,DF,
Robbie Brady,ie IRL,27.0,5.0,1,0,0,8,4,1,12,5,5,0.0,0.0,0,44.0,15.0,5.0,75.0,Burnley,MF,
Aaron Lennon,eng ENG,32.0,5.5,4,0,0,11,7,0,8,7,9,0.0,0.0,0,30.0,3.0,8.0,27.3,Burnley,MF,
Danny Drinkwater,eng ENG,29.0,0.6,0,0,0,1,0,0,0,1,2,0.0,0.0,0,8.0,0.0,1.0,0.0,Burnley,MF,
Max Thompson,eng ENG,17.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,Burnley,FW,
César Azpilicueta,es ESP,29.0,35.9,1,0,0,41,15,3,118,66,61,0.0,0.0,0,380.0,94.0,60.0,61.0,Chelsea,DF,
Kepa Arrizabalaga,es ESP,24.0,33.0,0,0,0,0,5,0,0,1,0,0.0,0.0,0,138.0,0.0,0.0,0.0,Chelsea,GK,
Mason Mount,eng ENG,20.0,31.9,3,0,0,37,38,4,135,15,31,1.0,0.0,0,214.0,14.0,39.0,26.4,Chelsea,MF,FW
Willian,br BRA,30.0,28.9,4,0,0,17,45,4,175,20,27,1.0,0.0,0,220.0,10.0,23.0,30.3,Chelsea,FW,
Jorginho,it ITA,27.0,26.4,10,0,0,27,30,0,9,64,44,0.0,1.0,0,401.0,13.0,37.0,26.0,Chelsea,MF,
Kurt Zouma,fr FRA,24.0,26.0,6,0,0,30,14,1,0,55,17,0.0,1.0,1,307.0,99.0,30.0,76.7,Chelsea,DF,
Tammy Abraham,eng ENG,21.0,24.6,2,0,0,17,24,23,10,5,10,1.0,0.0,1,95.0,67.0,111.0,37.6,Chelsea,FW,
Mateo Kovačić,hr CRO,25.0,23.0,8,0,0,20,38,0,8,20,55,0.0,0.0,0,244.0,8.0,19.0,29.6,Chelsea,MF,
Andreas Christensen,dk DEN,23.0,19.5,5,0,0,17,10,0,0,31,20,0.0,0.0,0,173.0,68.0,40.0,63.0,Chelsea,DF,
N'Golo Kanté,fr FRA,28.0,19.2,4,0,0,45,9,0,26,46,43,0.0,0.0,0,282.0,17.0,34.0,33.3,Chelsea,MF,
Christian Pulisic,us USA,20.0,19.1,0,0,0,13,30,3,34,7,19,2.0,0.0,0,102.0,16.0,47.0,25.4,Chelsea,FW,
Antonio Rüdiger,de GER,26.0,19.0,3,0,0,19,8,0,7,13,24,0.0,0.0,1,233.0,61.0,26.0,70.1,Chelsea,DF,
Reece James,eng ENG,19.0,16.8,1,0,0,22,21,1,110,23,23,0.0,0.0,0,164.0,35.0,42.0,45.5,Chelsea,DF,
Marcos Alonso,es ESP,28.0,15.9,4,0,0,16,15,2,67,20,19,1.0,0.0,0,183.0,42.0,31.0,57.5,Chelsea,DF,
Fikayo Tomori,eng ENG,21.0,14.3,3,0,0,7,6,1,4,20,15,0.0,0.0,0,145.0,40.0,22.0,64.5,Chelsea,DF,
Ross Barkley,eng ENG,25.0,12.3,0,0,0,9,15,0,12,8,11,0.0,0.0,0,97.0,10.0,15.0,40.0,Chelsea,MF,
Emerson Palmieri,it ITA,24.0,11.4,3,0,0,4,16,2,54,17,7,0.0,0.0,0,116.0,17.0,7.0,70.8,Chelsea,DF,
Olivier Giroud,fr FRA,32.0,11.0,1,0,0,17,9,9,2,2,3,0.0,0.0,0,47.0,44.0,41.0,51.8,Chelsea,FW,
Pedro,es ESP,32.0,7.3,1,0,0,8,11,0,21,9,10,0.0,0.0,0,61.0,2.0,5.0,28.6,Chelsea,FW,
Callum Hudson-Odoi,eng ENG,18.0,9.6,1,0,0,11,13,3,63,2,5,0.0,0.0,0,60.0,3.0,14.0,17.6,Chelsea,FW,
Willy Caballero,ar ARG,37.0,5.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,17.0,0.0,0.0,0.0,Chelsea,GK,
Ruben Loftus-Cheek,eng ENG,23.0,2.3,0,0,0,2,3,0,1,1,0,0.0,0.0,0,23.0,1.0,4.0,20.0,Chelsea,MF,FW
Billy Gilmour,sco SCO,18.0,2.2,0,0,0,3,1,0,1,3,4,0.0,0.0,0,31.0,3.0,5.0,37.5,Chelsea,MF,
Michy Batshuayi,be BEL,25.0,2.7,0,0,0,4,4,7,0,0,1,0.0,0.0,0,17.0,6.0,15.0,28.6,Chelsea,FW,
Tariq Lamptey,eng ENG,18.0,0.4,0,0,0,0,1,0,2,0,0,0.0,0.0,0,6.0,0.0,0.0,0.0,Chelsea,DF,
Faustino Anjorin,eng ENG,17.0,0.2,0,0,0,0,1,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,Chelsea,FW,
Armando Broja,al ALB,17.0,0.1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,Chelsea,FW,
Wilfried Zaha,ci CIV,26.0,36.4,5,0,0,48,119,16,67,16,31,1.0,0.0,0,232.0,16.0,38.0,29.6,Crystal Palace,MF,FW
Jordan Ayew,gh GHA,27.0,35.0,6,0,0,59,105,9,25,13,29,0.0,0.0,0,212.0,59.0,175.0,25.2,Crystal Palace,FW,MF
James McArthur,sco SCO,31.0,34.3,6,0,0,56,35,4,42,61,70,1.0,0.0,0,345.0,44.0,61.0,41.9,Crystal Palace,MF,
Vicente Guaita,es ESP,32.0,35.0,1,0,0,0,3,0,0,0,0,0.0,0.0,1,164.0,0.0,1.0,0.0,Crystal Palace,GK,
Cheikhou Kouyaté,sn SEN,29.0,28.1,4,0,0,35,28,2,15,38,45,0.0,0.0,0,256.0,83.0,62.0,57.2,Crystal Palace,MF,DF
Patrick van Aanholt,nl NED,28.0,27.9,0,0,0,9,8,2,88,46,32,0.0,0.0,1,243.0,12.0,17.0,41.4,Crystal Palace,DF,
Luka Milivojević,rs SRB,28.0,27.9,12,0,0,49,27,1,146,39,37,0.0,1.0,0,331.0,31.0,21.0,59.6,Crystal Palace,MF,
Joel Ward,eng ENG,29.0,26.5,4,0,0,24,29,0,37,52,31,0.0,0.0,0,271.0,52.0,26.0,66.7,Crystal Palace,DF,
Gary Cahill,eng ENG,33.0,24.1,1,0,0,14,12,0,0,18,12,0.0,0.0,0,219.0,78.0,45.0,63.4,Crystal Palace,DF,
James Tomkins,eng ENG,30.0,17.6,5,0,0,13,11,1,1,23,14,0.0,0.0,0,165.0,75.0,22.0,77.3,Crystal Palace,DF,
Martin Kelly,eng ENG,29.0,17.2,0,0,0,9,0,0,20,15,18,0.0,0.0,0,115.0,33.0,24.0,57.9,Crystal Palace,DF,
James McCarthy,ie IRL,28.0,18.7,9,0,0,31,18,0,35,27,42,0.0,0.0,0,244.0,15.0,18.0,45.5,Crystal Palace,MF,
Andros Townsend,eng ENG,28.0,14.4,0,0,0,9,26,1,66,16,20,0.0,0.0,0,109.0,4.0,12.0,25.0,Crystal Palace,MF,
Scott Dann,eng ENG,32.0,14.1,0,0,0,5,0,0,2,14,5,0.0,0.0,0,154.0,36.0,32.0,52.9,Crystal Palace,DF,
Christian Benteke,be BEL,28.0,14.0,4,1,0,25,20,12,5,4,5,0.0,0.0,0,55.0,118.0,101.0,53.9,Crystal Palace,FW,
Jeffrey Schlupp,gh GHA,26.0,11.5,2,0,0,17,12,1,9,13,6,0.0,0.0,0,80.0,19.0,16.0,54.3,Crystal Palace,MF,DF
Mamadou Sakho,fr FRA,29.0,10.3,1,1,0,3,2,0,0,22,7,0.0,0.0,0,120.0,20.0,17.0,54.1,Crystal Palace,DF,
