player,nationality,age,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_subs,minutes_per_sub,unused_subs,points_per_match,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,team,Pos1,Pos2
Issa Diop,fr FRA,22.0,32,"2,766",86.0,80.9,30.7,31,89.0,1,3.0,4,1.03,39.0,54.0,-15.0,-0.49,-0.76,39.1,51.0,-11.8,-0.38,0.17,West Ham,DF,
Aaron Cresswell,eng ENG,29.0,31,"2,727",88.0,79.7,30.3,31,88.0,0,0.0,0,0.97,41.0,51.0,-10.0,-0.33,0.06,36.7,47.9,-11.2,-0.37,0.24,West Ham,DF,
Ryan Fredericks,eng ENG,26.0,27,"2,237",83.0,65.4,24.9,25,88.0,2,15.0,1,1.11,35.0,39.0,-4.0,-0.16,0.52,30.1,40.0,-9.9,-0.4,0.06,West Ham,DF,
Łukasz Fabiański,pl POL,34.0,25,"2,117",85.0,61.9,23.5,25,85.0,0,0.0,0,1.24,36.0,34.0,2.0,0.09,1.12,30.2,35.7,-5.5,-0.24,0.47,West Ham,GK,
Sébastien Haller,fr FRA,25.0,32,"2,266",71.0,66.3,25.2,24,87.0,8,23.0,1,1.06,31.0,41.0,-10.0,-0.4,-0.16,31.2,43.6,-12.4,-0.49,-0.23,West Ham,FW,
Pablo Fornals,es ESP,23.0,36,"2,172",60.0,63.5,24.1,24,79.0,12,24.0,1,1.08,34.0,35.0,-1.0,-0.04,0.82,30.2,35.3,-5.1,-0.21,0.56,West Ham,MF,FW
Felipe Anderson,br BRA,26.0,25,"1,497",60.0,43.8,16.6,20,73.0,5,9.0,4,0.88,21.0,27.0,-6.0,-0.36,-0.03,18.2,27.7,-9.5,-0.57,-0.28,West Ham,MF,FW
Michail Antonio,eng ENG,29.0,24,"1,768",74.0,51.7,19.6,19,82.0,5,41.0,0,1.08,31.0,30.0,1.0,0.05,0.81,26.5,28.7,-2.2,-0.11,0.63,West Ham,FW,
Robert Snodgrass,sco SCO,31.0,24,"1,509",63.0,44.1,16.8,17,82.0,7,17.0,4,0.92,20.0,33.0,-13.0,-0.78,-0.78,15.8,30.3,-14.5,-0.86,-0.8,West Ham,MF,FW
Manuel Lanzini,ar ARG,26.0,24,"1,379",57.0,40.3,15.3,14,80.0,10,26.0,8,0.83,17.0,30.0,-13.0,-0.85,-0.85,21.9,29.9,-8.0,-0.52,-0.17,West Ham,MF,FW
Fabián Balbuena,py PAR,27.0,17,"1,177",69.0,34.4,13.1,13,90.0,4,2.0,21,1.18,12.0,24.0,-12.0,-0.92,-0.88,13.2,22.7,-9.4,-0.72,-0.47,West Ham,DF,
Tomáš Souček,cz CZE,24.0,13,"1,040",80.0,30.4,11.6,12,86.0,1,10.0,0,1.0,18.0,18.0,0.0,0.0,0.49,14.5,15.2,-0.8,-0.07,0.51,West Ham,MF,
Jarrod Bowen,eng ENG,22.0,13,917,71.0,26.8,10.2,11,82.0,2,9.0,0,1.15,15.0,13.0,2.0,0.2,0.74,16.2,10.8,5.4,0.53,1.29,West Ham,FW,
Andriy Yarmolenko,ua UKR,29.0,23,991,43.0,29.0,11.0,10,69.0,13,23.0,1,1.35,11.0,17.0,-6.0,-0.54,-0.29,13.5,18.2,-4.7,-0.43,-0.01,West Ham,MF,FW
Arthur Masuaku,cd COD,25.0,17,937,55.0,27.4,10.4,10,81.0,7,18.0,7,1.18,7.0,18.0,-11.0,-1.06,-0.98,10.4,21.8,-11.4,-1.09,-0.93,West Ham,DF,
Roberto,es ESP,33.0,8,687,86.0,20.1,7.6,7,90.0,1,57.0,12,0.25,8.0,17.0,-9.0,-1.18,-1.05,9.3,14.0,-4.6,-0.61,-0.24,West Ham,GK,
Pablo Zabaleta,ar ARG,34.0,10,592,59.0,17.3,6.6,6,87.0,4,18.0,19,0.6,5.0,14.0,-9.0,-1.37,-1.24,7.9,12.7,-4.8,-0.73,-0.38,West Ham,DF,
Jeremy Ngakia,eng ENG,18.0,5,440,88.0,12.9,4.9,5,88.0,0,0.0,2,0.6,5.0,8.0,-3.0,-0.61,-0.31,5.9,8.0,-2.1,-0.43,-0.02,West Ham,DF,
David Martin,eng ENG,33.0,5,436,87.0,12.7,4.8,4,90.0,1,76.0,8,1.2,3.0,6.0,-3.0,-0.62,-0.32,3.7,8.2,-4.5,-0.93,-0.58,West Ham,GK,
Ben Johnson,eng ENG,19.0,3,270,90.0,7.9,3.0,3,90.0,0,0.0,6,1.67,5.0,3.0,2.0,0.67,1.1,3.1,3.3,-0.2,-0.07,0.38,West Ham,DF,
Jack Wilshere,eng ENG,27.0,8,215,27.0,6.3,2.4,2,50.0,6,19.0,8,1.38,2.0,5.0,-3.0,-1.26,-0.98,1.7,4.1,-2.4,-1.01,-0.63,West Ham,MF,
Darren Randolph,ie IRL,32.0,2,180,90.0,5.3,2.0,2,90.0,0,0.0,15,0.5,2.0,5.0,-3.0,-1.5,-1.22,2.8,4.0,-1.2,-0.58,-0.18,West Ham,GK,
Carlos Sánchez,co COL,33.0,6,117,20.0,3.4,1.3,1,61.0,5,11.0,12,1.67,3.0,2.0,1.0,0.77,1.15,1.6,2.6,-1.0,-0.79,-0.39,West Ham,MF,DF
Javier Hernández,mx MEX,31.0,2,107,54.0,3.1,1.2,1,82.0,1,25.0,0,0.5,1.0,4.0,-3.0,-2.52,-2.25,0.9,3.2,-2.3,-1.93,-1.56,West Ham,FW,
Albian Ajeti,ch SUI,22.0,9,139,15.0,4.1,1.5,0,0.0,9,15.0,19,0.22,2.0,3.0,-1.0,-0.65,-0.32,2.8,1.5,1.2,0.8,1.27,West Ham,MF,FW
Nathan Holland,eng ENG,21.0,2,33,17.0,1.0,0.4,0,0.0,2,17.0,0,0.0,0.0,1.0,-1.0,-2.73,-2.41,0.2,0.8,-0.6,-1.53,-1.12,West Ham,MF,
Joseph Anang,gh GHA,19.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,West Ham,GK,
Gonçalo Cardoso,pt POR,18.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,West Ham,DF,
Conor Coventry,ie IRL,19.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,West Ham,MF,
Bernardo Costa Da Rosa,br BRA,18.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,West Ham,MF,
Alfie Lewis,eng ENG,19.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,West Ham,MF,
