player,nationality,age,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xa,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,team,Pos1,Pos2
Tanguy Ndombele,fr FRA,23,0.2,15.0,20.0,75.0,330.0,94.0,0.0,0.0,0.0,13.0,17.0,76.5,2.0,3.0,66.7,0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,Tottenham,MF,
Semi Ajayi,ng NGA,26,1.0,24.0,31.0,77.4,632.0,272.0,0.0,0.0,0.0,14.0,18.0,77.8,10.0,13.0,76.9,0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,West Brom,DF,
Kyle Bartley,eng ENG,29,1.0,33.0,44.0,75.0,776.0,240.0,1.0,1.0,100.0,23.0,26.0,88.5,9.0,17.0,52.9,0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,West Brom,DF,
Grady Diangana,eng ENG,22,1.0,22.0,30.0,73.3,280.0,94.0,1.0,4.0,25.0,20.0,25.0,80.0,1.0,1.0,100.0,0,0.1,-0.1,1.0,3.0,2.0,0.0,3.0,West Brom,FW,
Kieran Gibbs,eng ENG,30,1.0,31.0,41.0,75.6,523.0,172.0,1.0,1.0,100.0,25.0,30.0,83.3,5.0,10.0,50.0,0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,West Brom,DF,
Sam Johnstone,eng ENG,27,1.0,17.0,32.0,53.1,677.0,478.0,0.0,1.0,0.0,4.0,4.0,100.0,13.0,27.0,48.1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,West Brom,GK,
Jake Livermore,eng ENG,30,1.0,20.0,25.0,80.0,379.0,83.0,0.0,0.0,0.0,15.0,20.0,75.0,5.0,5.0,100.0,0,0.1,-0.1,1.0,3.0,1.0,0.0,1.0,West Brom,MF,
Dara O'Shea,ie IRL,21,1.0,37.0,47.0,78.7,933.0,392.0,1.0,2.0,50.0,22.0,26.0,84.6,14.0,19.0,73.7,0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,West Brom,DF,
Matheus Pereira,br BRA,24,1.0,24.0,32.0,75.0,352.0,169.0,1.0,1.0,100.0,21.0,26.0,80.8,2.0,5.0,40.0,0,0.0,0.0,1.0,2.0,1.0,0.0,4.0,West Brom,FW,
Darnell Furlong,eng ENG,24,0.8,20.0,27.0,74.1,340.0,132.0,0.0,1.0,0.0,17.0,20.0,85.0,3.0,6.0,50.0,0,0.1,-0.1,1.0,0.0,0.0,0.0,5.0,West Brom,DF,
