Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
James Ward-Prowse,eng ENG,"MF,DF",24,38,38,"3,420",5,3,1,3,9,0,0.13,0.08,0.21,0.11,0.18,7.1,4.6,5.2,0.19,0.14,0.32,0.12,0.26,Matches
Jan Bednarek,pl POL,DF,23,34,34,"3,057",1,1,0,0,4,0,0.03,0.03,0.06,0.03,0.06,1.1,1.1,0.1,0.03,0.00,0.03,0.03,0.03,Matches
Danny Ings,eng ENG,FW,27,38,32,"2,804",22,2,1,2,3,0,0.71,0.06,0.77,0.67,0.74,16.1,14.6,2.7,0.52,0.09,0.60,0.47,0.55,Matches
Nathan Redmond,eng ENG,"MF,FW",25,32,32,"2,762",4,4,0,0,2,0,0.13,0.13,0.26,0.13,0.26,5.3,5.3,3.5,0.17,0.11,0.29,0.17,0.29,Matches
Ryan Bertrand,eng ENG,DF,29,32,31,"2,742",1,1,0,0,3,1,0.03,0.03,0.07,0.03,0.07,2.0,2.0,3.5,0.06,0.11,0.18,0.06,0.18,Matches
Pierre Højbjerg,dk DEN,MF,23,33,30,"2,752",0,1,0,0,5,0,0.00,0.03,0.03,0.00,0.03,2.8,2.8,1.9,0.09,0.06,0.15,0.09,0.15,Matches
Alex McCarthy,eng ENG,GK,29,28,28,"2,520",0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Jack Stephens,eng ENG,DF,25,28,27,"2,451",1,3,0,0,4,1,0.04,0.11,0.15,0.04,0.15,0.8,0.8,1.2,0.03,0.05,0.08,0.03,0.08,Matches
Oriol Romeu,es ESP,MF,27,30,20,"1,860",0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,1.3,0.02,0.06,0.08,0.02,0.08,Matches
Stuart Armstrong,sco SCO,MF,27,30,19,"1,715",5,3,0,0,4,0,0.26,0.16,0.42,0.26,0.42,3.3,3.3,1.2,0.17,0.06,0.24,0.17,0.24,Matches
Jannik Vestergaard,dk DEN,DF,26,19,17,"1,497",1,0,0,0,3,0,0.06,0.00,0.06,0.06,0.06,0.9,0.9,0.1,0.06,0.01,0.06,0.06,0.06,Matches
Cédric Soares,pt POR,DF,27,16,16,"1,306",0,1,0,0,1,0,0.00,0.07,0.07,0.00,0.07,0.6,0.6,1.2,0.04,0.08,0.13,0.04,0.13,Matches
Shane Long,ie IRL,FW,32,26,15,"1,395",2,2,0,0,0,0,0.13,0.13,0.26,0.13,0.26,4.7,4.7,1.4,0.30,0.09,0.39,0.30,0.39,Matches
Che Adams,eng ENG,FW,23,30,12,"1,111",4,2,0,0,0,0,0.32,0.16,0.49,0.32,0.49,4.2,4.2,1.4,0.34,0.11,0.45,0.34,0.45,Matches
Moussa Djenepo,ml MLI,"MF,DF",21,18,10,928,2,2,0,0,4,1,0.19,0.19,0.39,0.19,0.39,2.4,2.4,1.4,0.23,0.14,0.37,0.23,0.37,Matches
Angus Gunn,eng ENG,GK,23,10,10,900,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Yan Valery,fr FRA,DF,20,11,10,779,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.7,0.03,0.08,0.12,0.03,0.12,Matches
Sofiane Boufal,ma MAR,"MF,FW",25,20,8,764,0,2,0,0,2,0,0.00,0.24,0.24,0.00,0.24,1.0,1.0,2.7,0.11,0.31,0.43,0.11,0.43,Matches
Michael Obafemi,ie IRL,FW,19,21,8,665,3,2,0,0,1,0,0.41,0.27,0.68,0.41,0.68,1.9,1.9,1.2,0.25,0.16,0.42,0.25,0.42,Matches
Kyle Walker-Peters,eng ENG,DF,22,10,7,703,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.6,0.01,0.07,0.08,0.01,0.08,Matches
Maya Yoshida,jp JPN,DF,30,8,6,560,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.0,0.09,0.00,0.09,0.09,0.09,Matches
William Smallbone,ie IRL,MF,19,9,4,393,0,2,0,0,0,0,0.00,0.46,0.46,0.00,0.46,0.3,0.3,0.3,0.07,0.07,0.14,0.07,0.14,Matches
Kevin Danso,at AUT,DF,20,6,3,277,0,1,0,0,2,1,0.00,0.32,0.32,0.00,0.32,0.1,0.1,0.2,0.03,0.06,0.09,0.03,0.09,Matches
Jake Vokins,eng ENG,DF,19,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.02,0.07,0.09,0.02,0.09,Matches
Nathan Tella,eng ENG,FW,20,1,0,3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,1.77,0.00,1.77,1.77,1.77,Matches
Will Ferry,ie IRL,MF,17,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Fraser Forster,eng ENG,GK,31,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Alexandre Jankewitz,ch SUI,MF,17,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Harry Lewis,eng ENG,GK,21,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Jacob Maddox,eng ENG,MF,20,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Dan Nlundulu,eng ENG,FW,20,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Toby Alderweireld,be BEL,DF,30,33,33,"2,957",2,2,0,0,7,0,0.06,0.06,0.12,0.06,0.12,1.0,1.0,0.9,0.03,0.03,0.06,0.03,0.06,Matches
Serge Aurier,ci CIV,DF,26,33,31,"2,700",1,5,0,0,4,1,0.03,0.17,0.20,0.03,0.20,0.5,0.5,3.0,0.02,0.10,0.12,0.02,0.12,Matches
Harry Kane,eng ENG,FW,26,29,29,"2,587",18,2,2,2,4,0,0.63,0.07,0.70,0.56,0.63,10.6,9.1,2.4,0.38,0.09,0.47,0.33,0.41,Matches
Son Heung-min,kr KOR,"FW,MF",27,30,28,"2,476",11,10,0,1,0,2,0.40,0.36,0.76,0.40,0.76,8.5,7.7,6.6,0.32,0.25,0.57,0.29,0.53,Matches
Moussa Sissoko,fr FRA,MF,29,29,28,"2,452",2,1,0,0,8,0,0.07,0.04,0.11,0.07,0.11,2.1,2.1,1.2,0.08,0.05,0.13,0.08,0.13,Matches
Davinson Sánchez,co COL,DF,23,29,27,"2,431",0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.0,0.03,0.00,0.03,0.03,0.03,Matches
Harry Winks,eng ENG,MF,23,31,26,"2,221",0,0,0,0,9,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,1.2,0.02,0.05,0.07,0.02,0.07,Matches
Lucas Moura,br BRA,"FW,MF",26,35,25,"2,242",4,4,0,0,3,0,0.16,0.16,0.32,0.16,0.32,5.9,5.9,2.6,0.25,0.11,0.35,0.25,0.35,Matches
Dele Alli,eng ENG,"MF,FW",23,25,21,"1,847",8,4,1,1,2,0,0.39,0.19,0.58,0.34,0.54,7.1,6.3,2.2,0.35,0.11,0.46,0.31,0.42,Matches
Hugo Lloris,fr FRA,GK,32,21,21,"1,807",0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Jan Vertonghen,be BEL,DF,32,23,19,"1,645",1,1,0,0,2,0,0.05,0.05,0.11,0.05,0.11,0.4,0.4,0.9,0.02,0.05,0.07,0.02,0.07,Matches
Paulo Gazzaniga,ar ARG,GK,27,18,17,"1,613",0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.00,0.02,0.02,0.00,0.02,Matches
Ben Davies,wal WAL,DF,26,18,16,"1,431",0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.6,0.01,0.04,0.05,0.01,0.05,Matches
Giovani Lo Celso,ar ARG,"MF,FW",23,28,15,"1,492",0,2,0,0,6,0,0.00,0.12,0.12,0.00,0.12,1.3,1.3,1.8,0.08,0.11,0.19,0.08,0.19,Matches
Eric Dier,eng ENG,"DF,MF",25,19,15,"1,344",0,2,0,0,5,0,0.00,0.13,0.13,0.00,0.13,1.1,1.1,0.1,0.08,0.01,0.08,0.08,0.08,Matches
Érik Lamela,ar ARG,"MF,FW",27,25,12,"1,215",2,1,0,0,3,0,0.15,0.07,0.22,0.15,0.22,2.8,2.8,1.6,0.21,0.12,0.32,0.21,0.32,Matches
Tanguy Ndombele,fr FRA,MF,22,21,12,"1,009",2,2,0,0,3,0,0.18,0.18,0.36,0.18,0.36,0.4,0.4,1.3,0.03,0.11,0.15,0.03,0.15,Matches
Christian Eriksen,dk DEN,"MF,FW",27,20,10,"1,097",2,2,0,0,5,0,0.16,0.16,0.33,0.16,0.33,2.0,2.0,2.0,0.16,0.17,0.33,0.16,0.33,Matches
Danny Rose,eng ENG,DF,29,12,10,893,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.8,0.01,0.08,0.10,0.01,0.10,Matches
Steven Bergwijn,nl NED,"FW,MF",21,14,8,704,3,1,0,0,2,0,0.38,0.13,0.51,0.38,0.51,1.2,1.2,1.0,0.16,0.13,0.29,0.16,0.29,Matches
Japhet Tanganga,eng ENG,DF,20,6,6,525,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.01,0.00,0.01,0.01,0.01,Matches
Ryan Sessegnon,eng ENG,DF,19,6,4,342,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.03,0.01,0.04,0.03,0.04,Matches
Kyle Walker-Peters,eng ENG,DF,22,3,3,241,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.01,0.03,0.04,0.01,0.04,Matches
Oliver Skipp,eng ENG,"MF,DF",18,7,1,77,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Juan Foyth,ar ARG,DF,21,4,1,68,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.03,0.03,0.00,0.03,Matches
Gedson Fernandes,pt POR,"MF,DF",20,7,0,68,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.08,0.19,0.27,0.08,0.27,Matches
Victor Wanyama,ke KEN,MF,28,2,0,25,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Troy Parrott,ie IRL,MF,17,2,0,7,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Georges-Kévin N'Koudou,fr FRA,FW,24,1,0,3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.59,0.00,0.59,0.59,0.59,Matches
Brandon Austin,eng ENG,GK,20,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Dennis Cirken,ie IRL,DF,17,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Michel Vorm,nl NED,GK,35,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Harvey White,eng ENG,MF,17,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Alfie Whiteman,eng ENG,GK,20,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Ben Foster,eng ENG,GK,36,38,38,"3,420",0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Abdoulaye Doucouré,fr FRA,MF,26,37,36,"3,156",4,2,0,0,9,0,0.11,0.06,0.17,0.11,0.17,5.1,5.1,2.6,0.15,0.08,0.23,0.15,0.23,Matches
Étienne Capoue,fr FRA,MF,31,30,30,"2,627",0,3,0,0,8,0,0.00,0.10,0.10,0.00,0.10,0.8,0.8,2.8,0.03,0.10,0.12,0.03,0.12,Matches
Craig Cathcart,nir NIR,DF,30,29,28,"2,488",0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.01,0.00,0.01,0.01,0.01,Matches
Will Hughes,eng ENG,"MF,FW",24,30,27,"2,252",1,1,0,0,9,0,0.04,0.04,0.08,0.04,0.08,2.8,2.8,1.4,0.12,0.06,0.17,0.12,0.17,Matches
Craig Dawson,eng ENG,DF,29,29,26,"2,361",2,0,0,0,6,0,0.08,0.00,0.08,0.08,0.08,2.1,2.1,0.3,0.08,0.01,0.10,0.08,0.10,Matches
Christian Kabasele,be BEL,DF,28,27,26,"2,250",0,2,0,0,3,2,0.00,0.08,0.08,0.00,0.08,1.1,1.1,0.5,0.05,0.02,0.07,0.05,0.07,Matches
Kiko Femenía,es ESP,DF,28,28,26,"2,237",0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,1.5,0.00,0.06,0.07,0.00,0.07,Matches
Troy Deeney,eng ENG,FW,31,27,26,"2,225",10,2,5,6,3,0,0.40,0.08,0.49,0.20,0.28,8.8,5.0,3.2,0.37,0.13,0.51,0.21,0.35,Matches
Gerard Deulofeu,es ESP,FW,25,28,25,"2,098",4,5,1,1,3,0,0.17,0.21,0.39,0.13,0.34,5.3,4.5,4.6,0.23,0.20,0.42,0.19,0.39,Matches
Ismaila Sarr,sn SEN,"FW,MF",21,28,22,"2,028",5,4,0,0,1,0,0.22,0.18,0.40,0.22,0.40,5.6,5.6,2.0,0.26,0.09,0.35,0.26,0.35,Matches
Adam Masina,it ITA,DF,25,26,20,"1,821",1,0,0,0,3,0,0.05,0.00,0.05,0.05,0.05,0.5,0.5,0.6,0.03,0.03,0.06,0.03,0.06,Matches
Roberto Pereyra,ar ARG,"FW,MF",28,28,17,"1,648",3,0,1,1,4,0,0.16,0.00,0.16,0.11,0.11,2.3,1.5,1.8,0.13,0.10,0.23,0.09,0.19,Matches
Adrian Mariappa,jm JAM,DF,32,20,15,"1,513",0,0,0,0,6,1,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.4,0.02,0.02,0.04,0.02,0.04,Matches
José Holebas,gr GRE,DF,35,14,11,"1,025",0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.7,0.04,0.07,0.10,0.04,0.10,Matches
Tom Cleverley,eng ENG,MF,29,18,11,971,1,0,0,0,2,0,0.09,0.00,0.09,0.09,0.09,1.6,1.6,0.5,0.15,0.05,0.20,0.15,0.20,Matches
Nathaniel Chalobah,eng ENG,MF,24,22,10,930,0,1,0,0,1,0,0.00,0.10,0.10,0.00,0.10,0.5,0.5,1.0,0.05,0.10,0.14,0.05,0.14,Matches
Danny Welbeck,eng ENG,"FW,MF",28,18,8,822,2,0,0,0,0,0,0.22,0.00,0.22,0.22,0.22,2.1,2.1,0.2,0.25,0.03,0.28,0.25,0.28,Matches
Andre Gray,eng ENG,FW,28,23,7,755,2,0,0,0,1,0,0.24,0.00,0.24,0.24,0.24,2.8,2.8,1.7,0.33,0.20,0.53,0.33,0.53,Matches
Daryl Janmaat,nl NED,DF,30,8,7,607,0,1,0,0,1,0,0.00,0.15,0.15,0.00,0.15,0.3,0.3,0.4,0.04,0.06,0.11,0.04,0.11,Matches
Dimitri Foulquier,fr FRA,"MF,DF",26,3,1,59,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.03,0.03,0.00,0.03,Matches
Sebastian Prödl,at AUT,DF,32,1,1,56,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.12,0.00,0.12,0.12,0.12,Matches
Ignacio Pussetto,ar ARG,"FW,DF",23,7,0,74,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Isaac Success,ng NGA,"FW,MF",23,5,0,70,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.10,0.16,0.26,0.10,0.26,Matches
João Pedro,br BRA,FW,17,3,0,25,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.22,0.00,0.22,0.22,0.22,Matches
Domingos Quina,pt POR,MF,19,4,0,22,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.13,0.00,0.13,0.13,0.13,Matches
Tom Dele-Bashiru,ng NGA,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Heurelho Gomes,br BRA,GK,38,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Adalberto Peñaranda,ve VEN,FW,22,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Ken Sema,se SWE,"DF,MF",25,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Declan Rice,eng ENG,MF,20,38,38,"3,420",1,3,0,0,6,0,0.03,0.08,0.11,0.03,0.11,1.0,1.0,1.4,0.03,0.04,0.07,0.03,0.07,Matches
Mark Noble,eng ENG,MF,32,33,32,"2,674",4,3,3,3,5,0,0.13,0.10,0.24,0.03,0.13,2.9,0.6,2.8,0.10,0.10,0.20,0.02,0.12,Matches
Angelo Ogbonna,it ITA,DF,31,31,31,"2,786",2,0,0,0,4,0,0.06,0.00,0.06,0.06,0.06,1.7,1.7,0.1,0.06,0.00,0.06,0.06,0.06,Matches
Issa Diop,fr FRA,DF,22,32,31,"2,766",3,1,0,0,8,0,0.10,0.03,0.13,0.10,0.13,1.5,1.5,0.9,0.05,0.03,0.08,0.05,0.08,Matches
Aaron Cresswell,eng ENG,DF,29,31,31,"2,727",3,0,0,0,7,0,0.10,0.00,0.10,0.10,0.10,1.3,1.3,2.0,0.04,0.07,0.11,0.04,0.11,Matches
Ryan Fredericks,eng ENG,DF,26,27,25,"2,237",0,3,0,0,7,0,0.00,0.12,0.12,0.00,0.12,0.1,0.1,2.4,0.00,0.10,0.11,0.00,0.11,Matches
Łukasz Fabiański,pl POL,GK,34,25,25,"2,117",0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Sébastien Haller,fr FRA,FW,25,32,24,"2,266",7,1,0,0,1,0,0.28,0.04,0.32,0.28,0.32,7.5,7.5,2.0,0.31,0.08,0.39,0.31,0.39,Matches
Pablo Fornals,es ESP,"MF,FW",23,36,24,"2,172",2,5,0,0,3,0,0.08,0.21,0.29,0.08,0.29,3.0,3.0,2.2,0.13,0.09,0.22,0.13,0.22,Matches
Felipe Anderson,br BRA,"MF,FW",26,25,20,"1,497",1,4,0,0,1,0,0.06,0.24,0.30,0.06,0.30,2.5,2.5,2.9,0.15,0.17,0.32,0.15,0.32,Matches
Michail Antonio,eng ENG,FW,29,24,19,"1,768",10,3,1,1,3,0,0.51,0.15,0.66,0.46,0.61,11.3,10.5,2.7,0.59,0.14,0.73,0.55,0.69,Matches
Robert Snodgrass,sco SCO,"MF,FW",31,24,17,"1,509",5,5,0,0,4,0,0.30,0.30,0.60,0.30,0.60,2.5,2.5,2.8,0.15,0.17,0.32,0.15,0.32,Matches
Manuel Lanzini,ar ARG,"MF,FW",26,24,14,"1,379",0,2,0,0,1,0,0.00,0.13,0.13,0.00,0.13,1.9,1.9,2.3,0.13,0.15,0.28,0.13,0.28,Matches
Fabián Balbuena,py PAR,DF,27,17,13,"1,177",1,0,0,0,2,0,0.08,0.00,0.08,0.08,0.08,1.7,1.7,0.0,0.13,0.00,0.13,0.13,0.13,Matches
Tomáš Souček,cz CZE,MF,24,13,12,"1,040",3,0,0,0,0,0,0.26,0.00,0.26,0.26,0.26,2.2,2.2,0.3,0.21,0.03,0.24,0.21,0.24,Matches
Jarrod Bowen,eng ENG,"FW,MF",22,13,11,917,1,4,0,0,0,0,0.10,0.39,0.49,0.10,0.49,1.8,1.8,2.4,0.18,0.24,0.42,0.18,0.42,Matches
Andriy Yarmolenko,ua UKR,"MF,FW",29,23,10,991,5,1,0,0,2,0,0.45,0.09,0.54,0.45,0.54,2.0,2.0,2.6,0.19,0.25,0.44,0.19,0.44,Matches
Arthur Masuaku,cd COD,DF,25,17,10,937,0,1,0,0,6,1,0.00,0.10,0.10,0.00,0.10,0.1,0.1,0.9,0.01,0.09,0.10,0.01,0.10,Matches
Roberto,es ESP,GK,33,8,7,687,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Pablo Zabaleta,ar ARG,DF,34,10,6,592,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.01,0.06,0.06,0.01,0.06,Matches
Jeremy Ngakia,eng ENG,DF,18,5,5,440,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
David Martin,eng ENG,GK,33,5,4,436,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Ben Johnson,eng ENG,DF,19,3,3,270,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
Jack Wilshere,eng ENG,MF,27,8,2,215,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Darren Randolph,ie IRL,GK,32,2,2,180,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Carlos Sánchez,co COL,"MF,DF",33,6,1,117,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Javier Hernández,mx MEX,FW,31,2,1,107,1,0,0,0,0,0,0.84,0.00,0.84,0.84,0.84,0.7,0.7,0.0,0.62,0.00,0.62,0.62,0.62,Matches
Albian Ajeti,ch SUI,"MF,FW",22,9,0,139,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.09,0.03,0.12,0.09,0.12,Matches
Nathan Holland,eng ENG,MF,21,2,0,33,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.10,0.00,0.10,0.10,0.10,Matches
Joseph Anang,gh GHA,GK,19,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Gonçalo Cardoso,pt POR,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Conor Coventry,ie IRL,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Bernardo Costa Da Rosa,br BRA,MF,18,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Alfie Lewis,eng ENG,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Winston Reid,nz NZL,DF,31,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Xande Silva,pt POR,FW,22,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Conor Coady,eng ENG,DF,26,38,38,"3,420",0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.5,0.00,0.01,0.01,0.00,0.01,Matches
Rui Patrício,pt POR,GK,31,38,38,"3,420",0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Raúl Jiménez,mx MEX,FW,28,38,37,"3,236",17,6,4,4,3,0,0.47,0.17,0.64,0.36,0.53,15.2,12.1,5.6,0.43,0.16,0.59,0.35,0.51,Matches
Rúben Neves,pt POR,MF,22,38,35,"3,056",2,2,0,0,9,0,0.06,0.06,0.12,0.06,0.12,1.6,1.6,1.9,0.05,0.06,0.10,0.05,0.10,Matches
João Moutinho,pt POR,MF,32,38,34,"3,108",1,6,0,0,7,0,0.03,0.17,0.20,0.03,0.20,0.8,0.8,6.1,0.02,0.18,0.20,0.02,0.20,Matches
Jonny Castro,es ESP,DF,25,35,33,"2,887",2,2,0,0,4,0,0.06,0.06,0.12,0.06,0.12,1.2,1.2,0.9,0.04,0.03,0.07,0.04,0.07,Matches
Matt Doherty,ie IRL,DF,27,36,32,"2,839",4,3,0,0,1,0,0.13,0.10,0.22,0.13,0.22,5.0,5.0,1.8,0.16,0.06,0.22,0.16,0.22,Matches
Leander Dendoncker,be BEL,"MF,DF",24,38,32,"2,795",4,0,0,0,5,0,0.13,0.00,0.13,0.13,0.13,1.7,1.7,0.6,0.06,0.02,0.08,0.06,0.08,Matches
Romain Saïss,ma MAR,DF,29,33,31,"2,705",2,1,0,0,12,1,0.07,0.03,0.10,0.07,0.10,2.6,2.6,0.6,0.09,0.02,0.11,0.09,0.11,Matches
Adama Traoré,es ESP,"FW,MF",23,37,27,"2,605",4,9,0,0,1,0,0.14,0.31,0.45,0.14,0.45,3.7,3.7,6.7,0.13,0.24,0.37,0.13,0.37,Matches
Diogo Jota,pt POR,"FW,MF",22,34,27,"2,284",7,1,0,0,4,0,0.28,0.04,0.32,0.28,0.32,9.6,9.6,3.9,0.39,0.16,0.55,0.39,0.55,Matches
Willy Boly,fr FRA,DF,28,22,22,"1,979",0,1,0,0,3,1,0.00,0.05,0.05,0.00,0.05,0.3,0.3,0.4,0.01,0.02,0.03,0.01,0.03,Matches
Pedro Neto,pt POR,"FW,MF",19,29,9,939,3,3,0,0,3,0,0.29,0.29,0.58,0.29,0.58,1.9,1.9,2.4,0.19,0.25,0.44,0.19,0.44,Matches
Ryan Bennett,eng ENG,DF,29,11,7,606,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.02,0.02,0.00,0.02,Matches
Rúben Vinagre,pt POR,DF,20,16,6,652,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.6,0.06,0.09,0.15,0.06,0.15,Matches
Patrick Cutrone,it ITA,FW,21,12,3,297,2,0,0,0,0,0,0.61,0.00,0.61,0.61,0.61,2.3,2.3,0.0,0.70,0.01,0.72,0.70,0.72,Matches
Daniel Podence,pt POR,"FW,MF",23,9,3,289,1,0,0,0,0,0,0.31,0.00,0.31,0.31,0.31,1.6,1.6,0.4,0.56,0.15,0.71,0.56,0.71,Matches
Max Kilman,eng ENG,DF,22,3,2,185,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Jesús Vallejo,es ESP,DF,22,2,1,163,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Morgan Gibbs-White,eng ENG,"MF,FW",19,7,1,129,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.06,0.06,0.12,0.06,0.12,Matches
Bruno Jordão,pt POR,MF,20,1,0,7,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,Matches
Bernard Ashley-Seal,eng ENG,FW,20,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Oskar Buur,dk DEN,"DF,MF",21,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Leonardo Campana,ec ECU,FW,19,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Luke Cundle,eng ENG,MF,,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Ryan John Giles,eng ENG,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Owen Otasowie,eng ENG,MF,18,0,0,,,,,,,,,,,,,,,,,,,,,Matches
