player,nationality,position,age,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,matches,team
Jack Stephens,eng ENG,DF,25,27.2,1545,211,824,785,44,16,1498,8,12,66.7,8,1,811,4999,2799,862,840,97.4,8,7,Matches,Southampton
Oriol Romeu,es ESP,MF,27,20.7,1261,64,286,821,210,5,1242,13,16,81.3,13,0,735,3165,1629,768,728,94.8,9,8,Matches,Southampton
Stuart Armstrong,sco SCO,MF,27,19.1,882,47,167,412,368,49,863,31,53,58.5,33,2,593,4281,2315,732,560,76.5,37,29,Matches,Southampton
Jannik Vestergaard,dk DEN,DF,26,16.6,1040,119,489,563,48,15,995,3,5,60.0,3,0,534,2834,1556,580,568,97.9,3,4,Matches,Southampton
Cédric Soares,pt POR,DF,27,14.5,910,55,268,426,260,17,715,3,7,42.9,3,0,397,2317,1148,463,416,89.8,13,9,Matches,Southampton
Shane Long,ie IRL,FW,32,15.5,611,16,48,256,329,71,606,8,18,44.4,9,0,295,1548,721,885,456,51.5,62,27,Matches,Southampton
Che Adams,eng ENG,FW,23,12.3,441,10,35,203,235,68,433,15,27,55.6,15,1,308,1837,841,657,315,47.9,44,29,Matches,Southampton
Moussa Djenepo,ml MLI,"MF,DF",21,10.3,468,15,85,196,228,48,458,48,70,68.6,49,1,359,3030,2045,440,318,72.3,34,24,Matches,Southampton
Angus Gunn,eng ENG,GK,23,10.0,278,234,277,2,0,0,167,0,0,,0,0,100,671,370,83,81,97.6,0,0,Matches,Southampton
Yan Valery,fr FRA,DF,20,8.7,455,28,139,189,151,10,361,12,25,48.0,13,0,207,1566,805,243,180,74.1,13,19,Matches,Southampton
Sofiane Boufal,ma MAR,"MF,FW",25,8.5,515,6,53,199,323,53,507,54,96,56.3,61,3,447,3838,2488,468,382,81.6,21,41,Matches,Southampton
Michael Obafemi,ie IRL,FW,19,7.4,238,0,14,114,123,37,236,18,31,58.1,20,0,188,1059,531,329,182,55.3,29,18,Matches,Southampton
Kyle Walker-Peters,eng ENG,DF,22,7.8,536,33,159,286,142,14,441,20,23,87.0,20,1,334,2420,1394,303,288,95.0,5,9,Matches,Southampton
Maya Yoshida,jp JPN,DF,30,6.2,317,38,166,143,20,6,309,1,1,100.0,1,0,170,820,287,194,187,96.4,1,3,Matches,Southampton
William Smallbone,ie IRL,MF,19,4.4,251,4,45,135,81,6,244,2,4,50.0,2,0,159,648,283,193,175,90.7,2,3,Matches,Southampton
Kevin Danso,at AUT,DF,20,3.1,206,12,65,104,49,2,173,3,6,50.0,3,0,115,683,322,123,109,88.6,8,1,Matches,Southampton
Jake Vokins,eng ENG,DF,19,1.0,82,1,11,44,33,5,70,0,0,,0,0,56,310,150,63,58,92.1,1,2,Matches,Southampton
Nathan Tella,eng ENG,FW,20,0.0,3,0,0,1,2,1,3,0,0,,0,0,2,6,4,3,2,66.7,0,0,Matches,Southampton
Toby Alderweireld,be BEL,DF,30,32.9,2265,353,1224,1038,114,22,2185,0,2,0.0,0,0,1362,6528,3056,1535,1500,97.7,3,2,Matches,Tottenham
Serge Aurier,ci CIV,DF,26,30.0,2057,119,582,894,680,54,1789,46,73,63.0,46,7,1198,5613,3135,1297,1146,88.4,36,31,Matches,Tottenham
Harry Kane,eng ENG,FW,26,28.7,923,39,85,467,434,132,886,28,59,47.5,34,3,607,3924,2018,1328,689,51.9,52,43,Matches,Tottenham
