player,nationality,position,age,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_completed,passes_offsides,passes_oob,passes_intercepted,passes_blocked,matches,team
Aaron Lennon,eng ENG,MF,32,5.5,131,129,2,0,0,32,5,8,1,1,0,0,91,21,19,11,112,4,1,0,92,0,3,2,10,Matches,Burnley
Danny Drinkwater,eng ENG,MF,29,0.6,20,19,1,1,0,3,1,0,0,0,0,0,9,2,9,3,14,3,0,0,11,0,2,0,1,Matches,Burnley
Max Thompson,eng ENG,FW,17,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,Burnley
César Azpilicueta,es ESP,DF,29,35.9,2838,2436,402,25,1,401,44,118,0,0,0,0,1720,516,602,280,2009,109,377,8,2267,8,40,39,96,Matches,Chelsea
Kepa Arrizabalaga,es ESP,GK,24,33.0,1086,832,254,54,0,119,22,0,0,0,0,0,702,62,322,157,772,2,1,145,877,5,14,9,2,Matches,Chelsea
Mason Mount,eng ENG,"MF,FW",20,31.9,1380,1233,147,52,4,256,58,135,80,36,14,10,968,202,210,161,1165,28,9,6,1116,5,21,14,48,Matches,Chelsea
Willian,br BRA,FW,30,28.9,1600,1464,136,16,5,339,82,175,110,27,55,10,1079,245,276,186,1356,37,8,5,1247,4,19,22,49,Matches,Chelsea
Jorginho,it ITA,MF,27,26.4,2221,2163,58,53,5,425,67,9,0,0,0,0,1542,330,349,127,2028,46,5,5,1955,6,15,21,19,Matches,Chelsea
Kurt Zouma,fr FRA,DF,24,26.0,1982,1952,30,25,0,212,90,0,0,0,0,0,1552,140,290,353,1513,66,5,2,1772,3,31,13,13,Matches,Chelsea
Tammy Abraham,eng ENG,FW,21,24.6,412,360,52,0,0,149,5,10,0,0,0,0,259,81,72,31,306,17,0,17,288,1,6,8,26,Matches,Chelsea
Mateo Kovačić,hr CRO,MF,25,23.0,1846,1798,48,40,5,337,81,8,0,0,0,0,1441,230,175,80,1723,25,8,4,1666,3,14,24,21,Matches,Chelsea
Andreas Christensen,dk DEN,DF,23,19.5,1258,1224,34,29,1,170,33,0,0,0,0,0,1047,83,128,80,1108,31,5,3,1166,3,16,7,6,Matches,Chelsea
N'Golo Kanté,fr FRA,MF,28,19.2,1140,1131,9,7,0,241,18,26,0,0,0,0,817,173,150,149,920,48,1,7,975,5,13,18,34,Matches,Chelsea
Christian Pulisic,us USA,FW,20,19.1,700,690,10,4,4,212,16,34,4,3,0,0,502,105,93,139,521,28,2,2,546,2,10,8,35,Matches,Chelsea
