player,nationality,position,age,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_completed,passes_offsides,passes_oob,passes_intercepted,passes_blocked,matches,team
Issa Diop,fr FRA,DF,22,30.7,948,906,42,41,0,135,17,1,0,0,0,0,620,102,226,130,686,88,1,2,755,2,29,12,16,Matches,West Ham
Aaron Cresswell,eng ENG,DF,29,30.3,1681,1292,389,45,3,242,38,127,19,11,5,0,796,359,526,1201,81,41,325,1,1241,6,41,19,77,Matches,West Ham
Ryan Fredericks,eng ENG,DF,26,24.9,1096,884,212,6,0,170,6,58,0,0,0,0,571,175,350,89,716,68,206,2,795,3,15,13,47,Matches,West Ham
Łukasz Fabiański,pl POL,GK,34,23.5,672,409,263,69,0,61,21,0,0,0,0,0,128,40,504,21,506,0,0,91,378,4,19,1,3,Matches,West Ham
Sébastien Haller,fr FRA,FW,25,25.2,766,735,31,0,2,322,4,8,0,0,0,0,350,199,217,82,439,58,0,23,522,3,8,21,28,Matches,West Ham
Pablo Fornals,es ESP,"MF,FW",23,24.1,897,860,37,10,6,222,31,62,19,4,9,3,594,167,136,106,753,23,2,5,680,0,13,17,55,Matches,West Ham
Felipe Anderson,br BRA,"MF,FW",26,16.6,934,903,31,9,3,188,23,36,5,3,1,0,635,174,125,124,750,31,12,13,725,3,14,28,40,Matches,West Ham
Michail Antonio,eng ENG,FW,29,19.6,507,467,40,1,5,169,14,49,0,0,0,0,249,133,125,49,335,30,25,15,325,4,10,6,36,Matches,West Ham
Robert Snodgrass,sco SCO,"MF,FW",31,16.8,635,529,106,32,2,113,37,135,72,27,24,19,326,103,206,541,53,29,1,2,435,3,6,15,24,Matches,West Ham
Manuel Lanzini,ar ARG,"MF,FW",26,15.3,798,737,61,18,3,154,29,42,32,17,11,1,583,118,97,87,680,17,2,9,674,3,12,15,13,Matches,West Ham
Fabián Balbuena,py PAR,DF,27,13.1,487,469,18,13,1,81,21,1,0,0,0,0,288,67,132,69,357,31,5,4,361,3,8,8,13,Matches,West Ham
Tomáš Souček,cz CZE,MF,24,11.6,392,386,6,3,0,95,11,2,1,1,0,0,227,68,97,44,270,34,2,0,274,1,6,5,12,Matches,West Ham
Jarrod Bowen,eng ENG,FW,22,10.2,276,247,29,4,1,47,22,59,25,20,1,0,157,38,81,204,59,9,0,1,188,0,8,2,16,Matches,West Ham
Andriy Yarmolenko,ua UKR,"MF,FW",29,11.0,424,414,10,4,1,92,20,19,3,2,0,1,283,67,74,308,94,15,3,1,338,0,8,7,12,Matches,West Ham
Arthur Masuaku,cd COD,DF,25,10.4,588,500,88,8,1,140,18,25,0,0,0,0,383,112,93,448,33,23,80,0,472,2,7,10,27,Matches,West Ham
Roberto,es ESP,GK,33,7.6,232,155,77,36,0,14,2,0,0,0,0,0,53,13,166,7,181,0,0,26,113,1,4,0,0,Matches,West Ham
Pablo Zabaleta,ar ARG,DF,34,6.6,326,258,68,4,0,32,3,15,0,0,0,0,158,56,112,27,201,29,64,0,247,0,3,3,14,Matches,West Ham
Jeremy Ngakia,eng ENG,DF,18,4.9,161,116,45,0,0,40,3,12,0,0,0,0,54,34,73,18,84,8,45,1,89,0,4,8,9,Matches,West Ham
David Martin,eng ENG,GK,33,4.8,124,61,63,19,0,14,1,0,0,0,0,0,14,5,105,1,98,0,0,10,55,0,0,1,0,Matches,West Ham
Ben Johnson,eng ENG,DF,19,3.0,161,132,29,0,0,16,8,11,0,0,0,0,72,34,55,19,102,8,29,0,111,1,5,5,8,Matches,West Ham
Jack Wilshere,eng ENG,MF,27,2.4,73,69,4,3,0,15,0,0,0,0,0,0,53,10,10,60,5,1,0,2,61,0,2,2,1,Matches,West Ham
Darren Randolph,ie IRL,GK,32,2.0,40,22,18,4,0,1,0,0,0,0,0,0,4,1,35,0,30,0,0,3,22,1,0,0,0,Matches,West Ham
Carlos Sánchez,co COL,"MF,DF",33,1.3,55,55,0,0,0,15,1,0,0,0,0,0,28,13,14,14,32,5,0,2,45,0,0,1,1,Matches,West Ham
Javier Hernández,mx MEX,FW,31,1.2,22,18,4,0,0,3,0,1,0,0,0,0,17,3,2,6,14,1,0,1,19,0,0,0,1,Matches,West Ham
Albian Ajeti,ch SUI,"MF,FW",22,1.5,18,17,1,0,0,5,0,0,0,0,0,0,6,8,4,2,12,3,0,0,15,0,0,0,0,Matches,West Ham
Nathan Holland,eng ENG,MF,21,0.4,14,13,1,0,0,4,0,2,0,0,0,0,9,4,1,0,13,0,1,0,11,0,0,0,1,Matches,West Ham
Conor Coady,eng ENG,DF,26,38.0,1782,1748,34,33,3,218,99,0,0,0,0,0,1059,208,515,68,1584,106,1,4,1531,3,25,15,15,Matches,Wolves
Rui Patrício,pt POR,GK,31,38.0,862,503,359,77,0,52,35,0,0,0,0,0,219,60,583,477,179,3,0,124,550,3,31,5,2,Matches,Wolves
Raúl Jiménez,mx MEX,FW,28,36.0,1009,970,39,3,7,300,37,23,1,1,0,0,514,297,198,61,798,46,12,45,732,3,20,27,50,Matches,Wolves
Rúben Neves,pt POR,MF,22,34.0,1974,1913,61,46,5,310,149,31,9,3,4,0,1133,346,495,157,1692,97,6,4,1587,4,46,21,24,Matches,Wolves
João Moutinho,pt POR,MF,32,34.5,2022,1697,325,148,7,336,134,216,166,35,73,12,1005,414,603,122,1781,92,5,6,1614,4,33,27,38,Matches,Wolves
Jonny Castro,es ESP,DF,25,32.1,1445,1132,313,8,0,267,18,52,2,1,0,0,821,403,221,336,724,52,303,5,1177,3,22,23,47,Matches,Wolves
Matt Doherty,ie IRL,DF,27,31.5,1793,1454,339,5,1,293,23,44,0,0,0,0,887,479,427,75,1180,116,334,12,1369,3,27,35,59,Matches,Wolves
Leander Dendoncker,be BEL,"MF,DF",24,31.1,1284,1267,17,14,1,191,41,8,0,0,0,0,908,178,198,209,907,103,2,2,1087,4,8,20,25,Matches,Wolves
Romain Saïss,ma MAR,DF,29,30.1,1541,1494,47,37,1,187,61,9,0,0,0,0,953,225,363,1232,137,97,10,5,1252,4,32,18,31,Matches,Wolves
Adama Traoré,es ESP,"FW,MF",23,28.9,942,888,54,0,3,257,36,182,0,0,0,0,514,169,259,85,741,21,54,7,621,1,19,20,70,Matches,Wolves
Diogo Jota,pt POR,"FW,MF",22,25.4,861,822,39,0,0,206,22,33,1,0,0,0,584,165,112,261,548,22,5,7,681,4,14,15,47,Matches,Wolves
Willy Boly,fr FRA,DF,28,22.0,959,941,18,14,4,148,14,2,0,0,0,0,658,103,198,103,755,53,4,3,793,3,14,9,12,Matches,Wolves
Pedro Neto,pt POR,"FW,MF",19,10.4,397,368,29,8,0,91,14,47,12,1,5,0,261,81,55,302,68,16,2,4,303,1,8,7,20,Matches,Wolves
Ryan Bennett,eng ENG,DF,29,6.7,239,224,15,3,0,41,8,4,0,0,0,0,134,26,79,14,180,17,12,2,185,1,5,3,1,Matches,Wolves
Rúben Vinagre,pt POR,DF,20,7.2,344,269,75,5,0,64,8,30,0,0,0,0,171,95,78,237,24,7,70,1,257,0,9,4,21,Matches,Wolves
Patrick Cutrone,it ITA,FW,21,3.3,56,49,7,0,0,21,2,6,0,0,0,0,33,11,12,9,40,1,0,3,38,0,4,1,0,Matches,Wolves
Daniel Podence,pt POR,"FW,MF",23,3.2,105,102,3,0,1,18,0,5,2,0,1,0,75,13,17,12,90,3,0,0,74,1,3,2,3,Matches,Wolves
Max Kilman,eng ENG,DF,22,2.1,90,90,0,0,0,14,1,0,0,0,0,0,67,9,14,76,6,4,0,1,72,2,1,1,1,Matches,Wolves
Jesús Vallejo,es ESP,DF,22,1.8,104,103,1,1,0,13,3,0,0,0,0,0,70,11,23,5,94,2,0,0,81,0,5,1,1,Matches,Wolves
Morgan Gibbs-White,eng ENG,"MF,FW",19,1.4,82,80,2,1,1,17,0,3,0,0,0,0,49,17,16,3,68,5,1,2,66,1,2,1,1,Matches,Wolves
Bruno Jordão,pt POR,FW,20,0.1,5,5,0,0,0,0,0,0,0,0,0,0,3,1,1,1,4,0,0,0,2,0,0,0,2,Matches,Wolves
