player,nationality,position,age,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches,team
Robert Snodgrass,sco SCO,"MF,FW",31,16.8,27,10,17,9,1,10,40,25.0,30,367,90,24.5,118,185,64,21,2,0,19,5,32,16,0,Matches,West Ham
Manuel Lanzini,ar ARG,"MF,FW",26,15.3,11,9,6,3,2,5,37,13.5,32,344,76,22.1,77,198,69,12,1,0,11,9,20,4,0,Matches,West Ham
Fabián Balbuena,py PAR,DF,27,13.1,18,11,14,3,1,6,26,23.1,20,116,40,34.5,91,22,3,27,7,0,20,26,44,93,1,Matches,West Ham
Tomáš Souček,cz CZE,MF,24,11.6,35,25,15,17,3,5,19,26.3,14,240,77,32.1,96,102,42,16,3,0,13,22,57,38,0,Matches,West Ham
Jarrod Bowen,eng ENG,FW,22,10.2,19,13,6,8,5,5,19,26.3,14,174,40,23.0,67,64,43,15,0,0,15,13,32,5,0,Matches,West Ham
Andriy Yarmolenko,ua UKR,"MF,FW",29,11.0,15,10,7,7,1,5,21,23.8,16,167,46,27.5,41,76,50,8,1,0,7,6,21,6,0,Matches,West Ham
Arthur Masuaku,cd COD,DF,25,10.4,43,27,28,12,3,11,30,36.7,19,223,65,29.1,128,81,14,29,3,0,26,13,56,29,1,Matches,West Ham
Roberto,es ESP,GK,33,7.6,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches,West Ham
Pablo Zabaleta,ar ARG,DF,34,6.6,15,10,9,5,1,4,15,26.7,11,93,27,29.0,53,25,15,16,3,0,13,13,28,20,0,Matches,West Ham
Jeremy Ngakia,eng ENG,DF,18,4.9,19,12,16,3,0,7,23,30.4,16,112,34,30.4,79,29,4,11,1,0,10,7,26,17,0,Matches,West Ham
David Martin,eng ENG,GK,33,4.8,0,0,0,0,0,0,0,,0,1,1,100.0,1,0,0,1,0,0,1,0,0,0,1,Matches,West Ham
Ben Johnson,eng ENG,DF,19,3.0,8,4,5,2,1,4,6,66.7,2,36,6,16.7,19,10,7,8,3,0,5,3,11,16,0,Matches,West Ham
Jack Wilshere,eng ENG,MF,27,2.4,1,0,0,1,0,1,6,16.7,5,63,21,33.3,15,34,14,6,0,0,6,1,2,1,0,Matches,West Ham
Darren Randolph,ie IRL,GK,32,2.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches,West Ham
Carlos Sánchez,co COL,"MF,DF",33,1.3,2,1,0,2,0,1,1,100.0,0,26,6,23.1,6,18,2,2,0,0,2,2,4,5,0,Matches,West Ham
Javier Hernández,mx MEX,FW,31,1.2,0,0,0,0,0,0,1,0.0,1,26,6,23.1,0,7,19,0,0,0,0,0,0,0,0,Matches,West Ham
Albian Ajeti,ch SUI,"MF,FW",22,1.5,1,0,0,0,1,0,0,,0,21,1,4.8,3,6,12,0,0,0,0,1,2,0,0,Matches,West Ham
Nathan Holland,eng ENG,MF,21,0.4,1,0,1,0,0,0,0,,0,13,4,30.8,5,4,4,1,0,0,1,0,1,0,0,Matches,West Ham
Conor Coady,eng ENG,DF,26,38.0,41,22,34,7,0,19,38,50.0,19,205,69,33.7,151,54,0,37,18,0,19,27,68,164,0,Matches,Wolves
Rui Patrício,pt POR,GK,31,38.0,0,0,0,0,0,0,2,0.0,2,5,0,0.0,5,0,0,1,0,0,1,2,2,1,1,Matches,Wolves
Raúl Jiménez,mx MEX,FW,28,36.0,29,23,7,15,7,2,26,7.7,24,589,141,23.9,33,292,264,32,4,0,28,14,43,31,0,Matches,Wolves
Rúben Neves,pt POR,MF,22,34.0,64,42,26,33,5,32,104,30.8,72,688,170,24.7,301,344,43,70,11,1,59,55,119,53,0,Matches,Wolves
João Moutinho,pt POR,MF,32,34.5,92,54,42,40,10,43,141,30.5,98,882,213,24.1,305,479,98,64,14,0,50,48,140,30,2,Matches,Wolves
Jonny Castro,es ESP,DF,25,32.1,98,61,60,29,9,34,90,37.8,56,722,215,29.8,326,283,113,79,9,0,70,52,150,45,2,Matches,Wolves
Matt Doherty,ie IRL,DF,27,31.5,65,33,36,25,4,26,50,52.0,24,379,107,28.2,181,141,57,64,5,0,59,38,103,78,1,Matches,Wolves
Leander Dendoncker,be BEL,"MF,DF",24,31.1,68,40,41,19,8,23,62,37.1,39,573,164,28.6,251,257,65,53,13,0,40,38,106,95,3,Matches,Wolves
Romain Saïss,ma MAR,DF,29,30.1,66,30,46,20,0,23,45,51.1,22,343,116,33.8,228,106,9,58,19,0,39,51,117,201,1,Matches,Wolves
Adama Traoré,es ESP,"FW,MF",23,28.9,41,23,15,14,12,10,27,37.0,17,404,108,26.7,98,198,108,28,4,0,24,18,59,24,0,Matches,Wolves
Diogo Jota,pt POR,"FW,MF",22,25.4,34,21,13,18,3,12,44,27.3,32,573,127,22.2,124,294,155,17,0,0,17,8,42,9,0,Matches,Wolves
Willy Boly,fr FRA,DF,28,22.0,61,40,42,18,1,23,48,47.9,25,271,101,37.3,181,86,4,50,16,0,34,39,100,136,2,Matches,Wolves
Pedro Neto,pt POR,"FW,MF",19,10.4,11,5,3,8,0,2,15,13.3,13,239,66,27.6,52,123,64,5,0,0,5,7,18,6,0,Matches,Wolves
Ryan Bennett,eng ENG,DF,29,6.7,4,3,4,0,0,2,7,28.6,5,61,15,24.6,41,19,1,15,7,0,8,9,13,45,1,Matches,Wolves
Rúben Vinagre,pt POR,DF,20,7.2,25,13,18,5,2,11,16,68.8,5,117,38,32.5,59,47,11,20,2,0,18,8,33,20,0,Matches,Wolves
Patrick Cutrone,it ITA,FW,21,3.3,6,4,3,1,2,1,5,20.0,4,95,26,27.4,9,43,43,1,1,0,0,2,8,1,0,Matches,Wolves
Daniel Podence,pt POR,"FW,MF",23,3.2,2,2,1,0,1,0,3,0.0,3,43,13,30.2,8,20,15,5,1,0,4,3,5,3,0,Matches,Wolves
Max Kilman,eng ENG,DF,22,2.1,4,3,3,1,0,2,4,50.0,2,17,5,29.4,11,5,1,2,1,0,1,4,8,17,0,Matches,Wolves
Jesús Vallejo,es ESP,DF,22,1.8,4,3,4,0,0,1,3,33.3,2,20,6,30.0,8,10,2,4,3,0,1,1,5,13,0,Matches,Wolves
Morgan Gibbs-White,eng ENG,"MF,FW",19,1.4,1,1,0,1,0,0,0,,0,27,10,37.0,5,15,7,2,0,0,2,1,2,0,0,Matches,Wolves
Bruno Jordão,pt POR,FW,20,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,1,0,0,1,0,0,0,0,Matches,Wolves
