player,nationality,position,age,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches,team
Dan Gosling,eng ENG,MF,29,14.0,28,20,16,8,4,7,30,23.3,23,357,93,26.1,133,149,75,38,11,0,27,20,48,27,0,Matches,Bournemouth
Simon Francis,eng ENG,DF,34,10.8,17,12,13,4,0,11,25,44.0,14,107,29,27.1,71,24,12,29,14,0,15,20,37,91,2,Matches,Bournemouth
Chris Mepham,wal WAL,DF,21,10.1,23,14,14,9,0,9,16,56.3,7,132,49,37.1,83,42,7,20,12,0,8,17,40,75,1,Matches,Bournemouth
David Brooks,wal WAL,MF,22,5.6,4,3,1,1,2,0,15,0.0,15,102,20,19.6,28,48,26,7,1,0,6,3,7,3,0,Matches,Bournemouth
Junior Stanislas,eng ENG,"MF,DF",29,7.9,10,6,2,2,6,4,9,44.4,5,107,34,31.8,32,41,34,9,0,0,9,5,15,2,0,Matches,Bournemouth
Lloyd Kelly,eng ENG,DF,20,7.1,9,6,5,4,0,5,9,55.6,4,73,29,39.7,39,27,7,11,6,0,5,6,15,17,1,Matches,Bournemouth
Arnaut Groeneveld,nl NED,MF,22,7.0,6,5,3,2,1,2,7,28.6,5,78,32,41.0,28,27,23,3,0,0,3,8,14,8,1,Matches,Bournemouth
Andrew Surman,eng ENG,MF,32,2.6,5,2,2,3,0,3,4,75.0,1,45,11,24.4,19,20,6,4,0,0,4,1,6,6,0,Matches,Bournemouth
Charlie Daniels,eng ENG,DF,32,1.4,1,0,0,1,0,1,2,50.0,1,26,5,19.2,20,6,0,5,1,0,4,1,2,4,1,Matches,Bournemouth
Jack Simpson,eng ENG,DF,22,2.7,5,2,5,0,0,2,6,33.3,4,32,4,12.5,17,13,2,2,0,0,2,2,7,13,1,Matches,Bournemouth
Mark Travers,ie IRL,GK,20,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,Matches,Bournemouth
Jordon Ibe,eng ENG,DF,23,0.6,3,3,3,0,0,0,0,,0,11,3,27.3,5,5,1,0,0,0,0,0,3,0,0,Matches,Bournemouth
Sam Surridge,eng ENG,FW,21,0.3,0,0,0,0,0,0,0,,0,17,3,17.6,0,8,9,1,0,0,1,1,1,0,0,Matches,Bournemouth
Mathew Ryan,au AUS,GK,27,38.0,0,0,0,0,0,0,5,0.0,5,10,4,40.0,10,0,0,0,0,0,0,2,2,2,4,Matches,Brighton
Lewis Dunk,eng ENG,DF,27,35.9,43,28,31,12,0,13,41,31.7,28,248,107,43.1,164,72,12,71,37,3,34,54,97,162,1,Matches,Brighton
Dan Burn,eng ENG,DF,27,32.0,63,36,34,23,6,24,56,42.9,32,465,164,35.3,251,161,53,67,22,0,45,37,100,148,0,Matches,Brighton
Davy Pröpper,nl NED,MF,27,31.4,58,38,29,23,6,22,68,32.4,46,484,144,29.8,195,235,54,39,11,0,28,30,88,43,2,Matches,Brighton
Adam Webster,eng ENG,DF,24,29.6,37,25,25,10,2,16,36,44.4,20,222,86,38.7,146,67,9,66,31,0,35,43,80,182,3,Matches,Brighton
Neal Maupay,fr FRA,FW,22,30.7,28,17,8,13,7,8,36,22.2,28,703,185,26.3,70,278,355,31,4,0,27,5,33,7,0,Matches,Brighton
Dale Stephens,eng ENG,MF,30,28.1,76,40,32,35,9,21,71,29.6,50,465,150,32.3,206,224,35,43,13,1,30,58,134,46,3,Matches,Brighton
Aaron Mooy,au AUS,"MF,FW",28,23.2,43,31,13,19,11,8,45,17.8,37,421,125,29.7,111,198,112,48,7,1,41,23,66,29,0,Matches,Brighton
Martín Montoya,es ESP,DF,28,21.1,49,28,30,14,5,22,50,44.0,28,375,92,24.5,163,159,53,41,6,0,35,29,78,55,1,Matches,Brighton
Leandro Trossard,be BEL,"FW,MF",24,22.3,28,16,13,12,3,9,39,23.1,30,373,100,26.8,72,169,132,29,2,0,27,8,36,5,0,Matches,Brighton
Pascal Groß,de GER,"FW,MF",28,20.0,33,21,6,19,8,8,32,25.0,24,395,103,26.1,81,195,119,27,2,0,25,9,42,11,0,Matches,Brighton
Yves Bissouma,ml MLI,MF,22,14.0,58,36,35,20,3,18,38,47.4,20,308,90,29.2,126,143,39,28,4,0,24,22,80,22,0,Matches,Brighton
Aaron Connolly,ie IRL,FW,19,14.0,12,8,1,5,6,3,12,25.0,9,234,69,29.5,14,94,126,8,1,0,7,0,12,1,0,Matches,Brighton
Shane Duffy,ie IRL,DF,27,13.8,16,9,10,5,1,4,18,22.2,14,100,34,34.0,71,27,2,21,8,0,13,21,37,116,0,Matches,Brighton
Steven Alzate,co COL,"MF,DF",20,13.2,28,23,23,3,2,10,22,45.5,12,235,77,32.8,99,94,42,26,3,0,23,13,41,14,0,Matches,Brighton
Solly March,eng ENG,"DF,FW",25,12.7,26,17,16,8,2,9,21,42.9,12,158,44,27.8,54,57,47,22,3,0,19,21,47,19,1,Matches,Brighton
Glenn Murray,eng ENG,FW,35,8.9,3,2,0,2,1,0,6,0.0,6,144,35,24.3,10,74,60,6,1,0,5,1,4,9,0,Matches,Brighton
Bernardo,br BRA,DF,24,7.5,28,16,14,5,9,12,19,63.2,7,129,44,34.1,56,48,25,16,3,0,13,7,35,25,0,Matches,Brighton
Tariq Lamptey,eng ENG,DF,18,6.5,9,3,8,1,0,0,9,0.0,9,91,17,18.7,39,32,20,13,1,0,12,18,27,15,1,Matches,Brighton
Ezequiel Schelotto,it ITA,DF,30,4.0,6,5,4,1,1,0,5,0.0,5,47,14,29.8,26,14,7,7,0,0,7,7,13,17,0,Matches,Brighton
Alexis Mac Allister,ar ARG,"MF,FW",20,3.9,9,4,4,3,2,4,9,44.4,5,105,25,23.8,27,51,27,14,1,0,13,1,10,1,0,Matches,Brighton
Alireza Jahanbakhsh,ir IRN,"FW,MF",25,3.5,7,3,2,2,3,3,6,50.0,3,51,20,39.2,15,16,20,5,0,0,5,1,8,4,0,Matches,Brighton
Jürgen Locadia,nl NED,"MF,FW",25,1.0,1,1,0,1,0,0,0,,0,12,6,50.0,0,6,6,0,0,0,0,0,1,0,0,Matches,Brighton
Florin Andone,ro ROU,"MF,FW",26,0.8,2,2,0,1,1,0,0,,0,7,1,14.3,1,3,3,1,1,0,0,0,2,1,0,Matches,Brighton
Gaëtan Bong,cm CMR,"MF,DF",31,0.7,0,0,0,0,0,0,0,,0,12,7,58.3,6,4,2,2,1,0,1,0,0,0,0,Matches,Brighton
Nick Pope,eng ENG,GK,27,38.0,0,0,0,0,0,0,1,0.0,1,5,1,20.0,5,0,0,1,0,0,1,2,2,0,1,Matches,Burnley
James Tarkowski,eng ENG,DF,26,38.0,76,51,54,22,0,25,50,50.0,25,313,100,31.9,217,84,12,85,46,0,39,61,137,329,1,Matches,Burnley
Dwight McNeil,eng ENG,MF,19,37.1,55,28,20,22,13,17,68,25.0,51,734,178,24.3,208,334,192,71,6,1,65,28,83,34,0,Matches,Burnley
Ashley Westwood,eng ENG,MF,29,35.0,48,30,18,22,8,17,59,28.8,42,609,152,25.0,204,309,96,45,9,0,36,32,80,32,1,Matches,Burnley
Ben Mee,eng ENG,DF,29,32.0,35,16,23,12,0,19,36,52.8,17,176,56,31.8,108,62,6,64,34,0,30,44,79,279,0,Matches,Burnley
Jack Cork,eng ENG,MF,30,29.0,39,27,10,21,8,11,65,16.9,54,605,172,28.4,146,347,112,53,12,0,41,29,68,57,0,Matches,Burnley
Chris Wood,nz NZL,FW,27,27.1,9,6,1,3,5,4,18,22.2,14,408,92,22.5,23,151,234,18,4,0,14,4,13,17,0,Matches,Burnley
Charlie Taylor,eng ENG,DF,25,21.6,43,16,26,14,3,17,43,39.5,26,224,65,29.0,117,79,28,60,7,0,53,29,72,106,1,Matches,Burnley
Jeff Hendrick,ie IRL,MF,27,21.5,18,10,7,7,4,2,30,6.7,28,356,69,19.4,83,175,98,35,7,0,28,19,37,19,0,Matches,Burnley
Phil Bardsley,sco SCO,DF,34,21.0,55,33,21,25,9,18,33,54.5,15,234,65,27.8,101,111,22,43,12,1,31,29,84,88,0,Matches,Burnley
Erik Pieters,nl NED,"DF,MF",30,20.9,58,41,23,32,3,22,62,35.5,40,345,85,24.6,162,141,42,65,8,0,57,27,85,89,0,Matches,Burnley
Jay Rodriguez,eng ENG,FW,30,22.4,33,17,7,16,10,6,36,16.7,30,574,150,26.1,77,244,253,43,11,0,32,5,38,7,0,Matches,Burnley
Matthew Lowton,eng ENG,DF,30,17.0,44,24,20,21,3,24,43,55.8,19,202,60,29.7,99,74,29,42,9,1,33,26,70,79,1,Matches,Burnley
Ashley Barnes,at AUT,FW,29,15.0,6,4,1,3,2,2,13,15.4,11,275,63,22.9,20,121,134,17,4,0,13,6,12,14,0,Matches,Burnley
Josh Brownhill,eng ENG,MF,23,8.9,15,8,6,7,2,1,7,14.3,6,111,31,27.9,36,54,21,10,3,0,7,13,28,16,0,Matches,Burnley
Matěj Vydra,cz CZE,FW,27,9.1,4,2,1,2,1,2,6,33.3,4,184,47,25.5,15,66,103,12,3,0,9,1,5,7,0,Matches,Burnley
Jóhann Berg Guðmundsson,is ISL,MF,28,6.9,7,3,2,1,4,2,9,22.2,7,105,19,18.1,34,35,36,10,1,0,9,7,14,8,0,Matches,Burnley
Kevin Long,ie IRL,DF,28,6.3,10,8,8,2,0,3,8,37.5,5,54,17,31.5,35,17,2,15,9,0,6,4,14,39,0,Matches,Burnley
Robbie Brady,ie IRL,MF,27,5.0,10,5,7,3,0,2,9,22.2,7,126,28,22.2,46,53,27,14,2,0,12,5,15,8,0,Matches,Burnley
Aaron Lennon,eng ENG,MF,32,5.5,15,9,7,4,4,9,14,64.3,5,143,27,18.9,37,67,39,8,2,0,6,7,22,6,0,Matches,Burnley
Danny Drinkwater,eng ENG,MF,29,0.6,2,2,1,1,0,0,1,0.0,1,23,5,21.7,10,10,3,1,0,0,1,1,3,0,0,Matches,Burnley
Max Thompson,eng ENG,FW,17,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches,Burnley
César Azpilicueta,es ESP,DF,29,35.9,102,61,50,38,14,37,74,50.0,37,568,186,32.7,250,221,97,81,20,0,61,66,168,146,0,Matches,Chelsea
Kepa Arrizabalaga,es ESP,GK,24,33.0,0,0,0,0,0,0,2,0.0,2,3,1,33.3,3,0,0,0,0,0,0,1,1,1,2,Matches,Chelsea
Mason Mount,eng ENG,"MF,FW",20,31.9,48,31,14,21,13,13,47,27.7,34,729,204,28.0,121,339,269,26,1,0,25,15,63,16,0,Matches,Chelsea
Willian,br BRA,FW,30,28.9,43,27,13,22,8,11,51,21.6,40,527,150,28.5,98,261,168,22,1,0,21,20,63,11,0,Matches,Chelsea
Jorginho,it ITA,MF,27,26.4,69,44,22,35,12,27,85,31.8,58,556,162,29.1,187,298,71,41,5,1,36,64,133,34,0,Matches,Chelsea
Kurt Zouma,fr FRA,DF,24,26.0,33,17,25,8,0,3,8,37.5,5,177,55,31.1,102,72,3,34,16,0,18,55,88,181,3,Matches,Chelsea
Tammy Abraham,eng ENG,FW,21,24.6,14,10,4,5,5,4,16,25.0,12,430,130,30.2,19,169,242,23,5,0,18,5,19,26,0,Matches,Chelsea
Mateo Kovačić,hr CRO,MF,25,23.0,80,55,31,42,7,30,78,38.5,48,533,173,32.5,152,281,100,28,2,0,26,20,100,17,0,Matches,Chelsea
Andreas Christensen,dk DEN,DF,23,19.5,41,20,25,13,3,11,24,45.8,13,156,57,36.5,90,62,4,22,9,0,13,31,72,104,0,Matches,Chelsea
N'Golo Kanté,fr FRA,MF,28,19.2,58,43,29,22,7,12,33,36.4,21,438,141,32.2,153,190,95,43,3,0,40,46,104,35,0,Matches,Chelsea
Christian Pulisic,us USA,FW,20,19.1,31,19,17,10,4,11,35,31.4,24,380,112,29.5,91,171,118,23,0,0,23,7,38,11,0,Matches,Chelsea
Antonio Rüdiger,de GER,DF,26,19.0,43,24,28,13,2,13,21,61.9,8,166,64,38.6,99,64,3,27,8,0,19,13,56,108,2,Matches,Chelsea
Reece James,eng ENG,DF,19,16.8,42,23,20,17,5,14,31,45.2,17,271,73,26.9,124,113,34,46,8,0,38,23,65,39,0,Matches,Chelsea
Marcos Alonso,es ESP,DF,28,15.9,27,19,17,6,4,5,28,17.9,23,215,88,40.9,89,84,42,30,1,0,29,20,47,48,0,Matches,Chelsea
Fikayo Tomori,eng ENG,DF,21,14.3,30,15,19,10,1,7,13,53.8,6,149,48,32.2,82,64,3,29,9,0,20,20,50,93,2,Matches,Chelsea
Ross Barkley,eng ENG,MF,25,12.3,16,11,6,8,2,4,17,23.5,13,171,50,29.2,17,96,58,11,3,1,8,8,24,12,0,Matches,Chelsea
Emerson Palmieri,it ITA,DF,24,11.4,22,7,9,10,3,6,13,46.2,7,126,44,34.9,37,60,29,31,2,0,29,17,39,22,0,Matches,Chelsea
Olivier Giroud,fr FRA,FW,32,11.0,4,3,1,3,0,0,10,0.0,10,203,58,28.6,10,98,95,20,6,0,14,2,6,13,0,Matches,Chelsea
Pedro,es ESP,FW,32,7.3,17,10,7,7,3,3,18,16.7,15,152,49,32.2,34,72,46,7,0,0,7,9,26,1,0,Matches,Chelsea
Callum Hudson-Odoi,eng ENG,FW,18,9.6,8,5,5,2,1,1,10,10.0,9,121,29,24.0,22,59,40,18,0,0,18,2,10,6,0,Matches,Chelsea
Willy Caballero,ar ARG,GK,37,5.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,Matches,Chelsea
Ruben Loftus-Cheek,eng ENG,"MF,FW",23,2.3,0,0,0,0,0,0,1,0.0,1,21,10,47.6,8,4,9,3,1,0,2,1,1,3,0,Matches,Chelsea
Billy Gilmour,sco SCO,MF,18,2.2,6,4,4,2,0,3,6,50.0,3,36,14,38.9,15,20,1,6,0,0,6,3,9,1,0,Matches,Chelsea
Michy Batshuayi,be BEL,FW,25,2.7,2,1,2,0,0,0,2,0.0,2,72,17,23.6,5,34,33,4,2,0,2,0,2,1,0,Matches,Chelsea
Tariq Lamptey,eng ENG,DF,18,0.4,2,0,1,1,0,2,2,100.0,0,3,3,100.0,1,1,1,0,0,0,0,0,2,0,0,Matches,Chelsea
Faustino Anjorin,eng ENG,FW,17,0.2,1,0,1,0,0,0,0,,0,2,1,50.0,0,2,0,1,0,0,1,0,1,0,0,Matches,Chelsea
