player,nationality,position,age,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_og_for,matches,team
Ryan Bertrand,eng ENG,DF,29,30.5,62,2.04,45,14,0,0,3,1,0.03,0,1,0,0,0,0,Matches,Southampton
Pierre Højbjerg,dk DEN,MF,23,30.6,63,2.06,53,1,2,2,5,5,0.16,3,0,0,0,2,0,Matches,Southampton
Alex McCarthy,eng ENG,GK,29,28.0,4,0.14,2,2,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Southampton
Jack Stephens,eng ENG,DF,25,27.2,15,0.55,13,1,1,0,0,3,0.11,3,0,0,0,0,0,Matches,Southampton
Oriol Romeu,es ESP,MF,27,20.7,31,1.50,27,1,1,1,1,0,0.00,0,0,0,0,0,0,Matches,Southampton
Stuart Armstrong,sco SCO,MF,27,19.1,48,2.52,37,0,4,4,3,8,0.42,5,0,1,2,0,0,Matches,Southampton
Jannik Vestergaard,dk DEN,DF,26,16.6,6,0.36,6,0,0,0,0,1,0.06,1,0,0,0,0,0,Matches,Southampton
Cédric Soares,pt POR,DF,27,14.5,23,1.58,21,2,0,0,0,2,0.14,1,1,0,0,0,0,Matches,Southampton
Shane Long,ie IRL,FW,32,15.5,31,2.00,25,0,1,4,1,3,0.19,1,0,0,2,0,0,Matches,Southampton
Che Adams,eng ENG,FW,23,12.3,24,1.94,15,0,3,2,4,5,0.41,2,0,1,0,2,0,Matches,Southampton
Moussa Djenepo,ml MLI,"MF,DF",21,10.3,39,3.78,19,0,11,1,8,6,0.58,3,0,2,0,1,0,Matches,Southampton
Angus Gunn,eng ENG,GK,23,10.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Southampton
Yan Valery,fr FRA,DF,20,8.7,7,0.81,5,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches,Southampton
Sofiane Boufal,ma MAR,"MF,FW",25,8.5,37,4.36,22,0,8,1,6,3,0.35,2,0,1,0,0,0,Matches,Southampton
Michael Obafemi,ie IRL,FW,19,7.4,18,2.44,13,0,3,2,0,2,0.27,2,0,0,0,0,0,Matches,Southampton
Kyle Walker-Peters,eng ENG,DF,22,7.8,7,0.90,6,0,0,1,0,1,0.13,0,0,0,1,0,0,Matches,Southampton
Maya Yoshida,jp JPN,DF,30,6.2,1,0.16,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Southampton
William Smallbone,ie IRL,MF,19,4.4,4,0.92,4,0,0,0,0,2,0.46,2,0,0,0,0,0,Matches,Southampton
Kevin Danso,at AUT,DF,20,3.1,3,0.97,3,0,0,0,0,1,0.32,1,0,0,0,0,0,Matches,Southampton
Jake Vokins,eng ENG,DF,19,1.0,1,1.00,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Southampton
Nathan Tella,eng ENG,FW,20,0.0,1,30.00,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches,Southampton
Toby Alderweireld,be BEL,DF,30,32.9,19,0.58,18,0,0,1,0,2,0.06,2,0,0,0,0,0,Matches,Tottenham
Serge Aurier,ci CIV,DF,26,30.0,48,1.60,43,2,2,0,0,6,0.20,4,0,1,0,0,1,Matches,Tottenham
Harry Kane,eng ENG,FW,26,28.7,53,1.84,37,0,7,4,5,6,0.21,3,0,0,2,1,0,Matches,Tottenham
Son Heung-min,kr KOR,"FW,MF",27,27.5,95,3.45,60,7,15,10,3,22,0.80,13,1,3,4,1,0,Matches,Tottenham
Moussa Sissoko,fr FRA,MF,29,27.2,27,0.99,26,0,1,0,0,2,0.07,2,0,0,0,0,0,Matches,Tottenham
Davinson Sánchez,co COL,DF,23,27.0,6,0.22,5,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,Tottenham
Harry Winks,eng ENG,MF,23,24.7,37,1.50,34,3,0,0,0,5,0.20,5,0,0,0,0,0,Matches,Tottenham
Lucas Moura,br BRA,"FW,MF",26,24.9,84,3.37,59,0,12,3,10,8,0.32,5,0,3,0,0,0,Matches,Tottenham
Dele Alli,eng ENG,"MF,FW",23,20.5,53,2.58,39,1,9,2,2,12,0.58,5,0,5,2,0,0,Matches,Tottenham
Hugo Lloris,fr FRA,GK,32,20.1,1,0.05,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Tottenham
Jan Vertonghen,be BEL,DF,32,18.3,8,0.44,7,1,0,0,0,1,0.05,1,0,0,0,0,0,Matches,Tottenham
Paulo Gazzaniga,ar ARG,GK,27,17.9,4,0.22,3,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Tottenham
Ben Davies,wal WAL,DF,26,15.9,17,1.07,15,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches,Tottenham
Giovani Lo Celso,ar ARG,"MF,FW",23,16.6,59,3.56,44,9,2,1,3,6,0.36,5,0,0,1,0,0,Matches,Tottenham
Eric Dier,eng ENG,"DF,MF",25,14.9,10,0.67,9,0,0,1,0,1,0.07,1,0,0,0,0,0,Matches,Tottenham
Érik Lamela,ar ARG,"MF,FW",27,13.5,47,3.48,27,5,3,4,7,9,0.67,3,1,0,3,1,1,Matches,Tottenham
Tanguy Ndombele,fr FRA,MF,22,11.2,28,2.50,25,1,0,2,0,2,0.18,2,0,0,0,0,0,Matches,Tottenham
Christian Eriksen,dk DEN,"MF,FW",27,12.2,40,3.28,31,8,1,0,0,3,0.25,2,1,0,0,0,0,Matches,Tottenham
Danny Rose,eng ENG,DF,29,9.9,15,1.51,11,2,0,0,2,0,0.00,0,0,0,0,0,0,Matches,Tottenham
Steven Bergwijn,nl NED,"FW,MF",21,7.8,26,3.32,22,0,2,0,2,1,0.13,1,0,0,0,0,0,Matches,Tottenham
Japhet Tanganga,eng ENG,DF,20,5.8,2,0.34,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Tottenham
Ryan Sessegnon,eng ENG,DF,19,3.8,4,1.05,4,0,0,0,0,1,0.26,1,0,0,0,0,0,Matches,Tottenham
Kyle Walker-Peters,eng ENG,DF,22,2.7,6,2.24,4,0,0,1,1,0,0.00,0,0,0,0,0,0,Matches,Tottenham
Oliver Skipp,eng ENG,"MF,DF",18,0.9,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Tottenham
Juan Foyth,ar ARG,DF,21,0.8,1,1.32,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Tottenham
Gedson Fernandes,pt POR,"MF,DF",20,0.8,3,3.97,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Tottenham
Victor Wanyama,ke KEN,MF,28,0.3,1,3.60,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Tottenham
Troy Parrott,ie IRL,MF,17,0.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Tottenham
Georges-Kévin N'Koudou,fr FRA,FW,24,0.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Tottenham
Ben Foster,eng ENG,GK,36,38.0,5,0.13,2,3,0,0,0,1,0.03,1,0,0,0,0,0,Matches,Watford
Abdoulaye Doucouré,fr FRA,MF,26,35.1,80,2.28,59,0,10,8,3,6,0.17,4,0,0,2,0,0,Matches,Watford
Étienne Capoue,fr FRA,MF,31,29.2,43,1.47,32,6,2,0,3,3,0.10,2,1,0,0,0,0,Matches,Watford
Craig Cathcart,nir NIR,DF,30,27.6,5,0.18,5,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches,Watford
Will Hughes,eng ENG,"MF,FW",24,25.0,46,1.84,29,11,1,0,5,3,0.12,2,1,0,0,0,0,Matches,Watford
Craig Dawson,eng ENG,DF,29,26.2,12,0.46,7,0,0,5,0,0,0.00,0,0,0,0,0,0,Matches,Watford
Christian Kabasele,be BEL,DF,28,25.0,7,0.28,6,0,0,0,1,2,0.08,2,0,0,0,0,0,Matches,Watford
Kiko Femenía,es ESP,DF,28,24.9,32,1.29,27,3,1,0,1,3,0.12,0,1,1,0,1,0,Matches,Watford
Troy Deeney,eng ENG,FW,31,24.7,50,2.02,42,0,0,3,5,5,0.20,4,0,0,0,1,0,Matches,Watford
Gerard Deulofeu,es ESP,FW,25,23.3,88,3.78,51,10,14,7,6,7,0.30,5,0,1,0,1,0,Matches,Watford
Ismaila Sarr,sn SEN,"FW,MF",21,22.5,68,3.02,49,1,4,5,9,8,0.36,5,0,0,0,3,0,Matches,Watford
Adam Masina,it ITA,DF,25,20.2,20,0.99,18,2,0,0,0,1,0.05,0,1,0,0,0,0,Matches,Watford
Roberto Pereyra,ar ARG,"FW,MF",28,18.3,41,2.24,26,6,4,1,4,1,0.05,0,0,0,0,1,0,Matches,Watford
Adrian Mariappa,jm JAM,DF,32,16.8,10,0.59,10,0,0,0,0,1,0.06,1,0,0,0,0,0,Matches,Watford
José Holebas,gr GRE,DF,35,11.4,18,1.58,8,8,1,1,0,0,0.00,0,0,0,0,0,0,Matches,Watford
Tom Cleverley,eng ENG,MF,29,10.8,31,2.87,24,2,0,2,3,1,0.09,0,0,0,1,0,0,Matches,Watford
Nathaniel Chalobah,eng ENG,MF,24,10.3,18,1.74,16,2,0,0,0,2,0.19,2,0,0,0,0,0,Matches,Watford
Danny Welbeck,eng ENG,"FW,MF",28,9.1,9,0.99,6,0,2,0,1,1,0.11,0,0,0,0,1,0,Matches,Watford
Andre Gray,eng ENG,FW,28,8.4,14,1.67,11,0,1,2,0,1,0.12,0,0,0,1,0,0,Matches,Watford
Daryl Janmaat,nl NED,DF,30,6.7,14,2.08,13,0,1,0,0,1,0.15,1,0,0,0,0,0,Matches,Watford
Dimitri Foulquier,fr FRA,"MF,DF",26,0.7,1,1.53,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Watford
Sebastian Prödl,at AUT,DF,32,0.6,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Watford
Ignacio Pussetto,ar ARG,"FW,DF",23,0.8,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Watford
Isaac Success,ng NGA,"FW,MF",23,0.8,4,5.14,2,0,0,1,1,0,0.00,0,0,0,0,0,0,Matches,Watford
João Pedro,br BRA,"FW,MF",17,0.3,2,7.20,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,Watford
Domingos Quina,pt POR,MF,19,0.2,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Watford
Declan Rice,eng ENG,MF,20,38.0,45,1.18,41,0,2,2,0,7,0.18,5,0,0,2,0,0,Matches,West Ham
Mark Noble,eng ENG,MF,32,29.7,73,2.46,52,12,2,0,7,8,0.27,4,1,0,0,3,0,Matches,West Ham
Angelo Ogbonna,it ITA,DF,31,31.0,9,0.29,9,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,West Ham
Issa Diop,fr FRA,DF,22,30.7,9,0.29,6,1,0,2,0,1,0.03,1,0,0,0,0,0,Matches,West Ham
Aaron Cresswell,eng ENG,DF,29,30.3,46,1.52,33,6,2,1,4,2,0.07,1,0,1,0,0,0,Matches,West Ham
Ryan Fredericks,eng ENG,DF,26,24.9,47,1.89,42,3,1,0,1,5,0.20,5,0,0,0,0,0,Matches,West Ham
Łukasz Fabiański,pl POL,GK,34,23.5,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,West Ham
Sébastien Haller,fr FRA,FW,25,25.2,51,2.03,42,1,1,4,3,7,0.28,3,0,0,2,2,0,Matches,West Ham
Pablo Fornals,es ESP,"MF,FW",23,24.1,48,1.99,38,4,1,2,3,9,0.37,9,0,0,0,0,0,Matches,West Ham
Felipe Anderson,br BRA,"MF,FW",26,16.6,57,3.43,44,2,5,3,3,8,0.48,7,0,1,0,0,0,Matches,West Ham
Michail Antonio,eng ENG,FW,29,19.6,58,2.95,31,1,15,5,6,7,0.36,2,0,2,2,1,0,Matches,West Ham
Robert Snodgrass,sco SCO,"MF,FW",31,16.8,51,3.04,19,24,3,1,4,7,0.42,3,4,0,0,0,0,Matches,West Ham
Manuel Lanzini,ar ARG,"MF,FW",26,15.3,57,3.72,39,11,1,1,5,5,0.33,2,0,0,0,3,0,Matches,West Ham
Fabián Balbuena,py PAR,DF,27,13.1,4,0.31,3,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,West Ham
Tomáš Souček,cz CZE,MF,24,11.6,8,0.69,7,0,0,0,1,1,0.09,1,0,0,0,0,0,Matches,West Ham
Jarrod Bowen,eng ENG,FW,22,10.2,27,2.65,11,6,3,4,3,5,0.49,3,2,0,0,0,0,Matches,West Ham
Andriy Yarmolenko,ua UKR,"MF,FW",29,11.0,35,3.18,29,1,3,1,1,6,0.54,4,0,2,0,0,0,Matches,West Ham
Arthur Masuaku,cd COD,DF,25,10.4,10,0.96,10,0,0,0,0,1,0.10,1,0,0,0,0,0,Matches,West Ham
Roberto,es ESP,GK,33,7.6,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,West Ham
Pablo Zabaleta,ar ARG,DF,34,6.6,5,0.76,5,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,West Ham
Jeremy Ngakia,eng ENG,DF,18,4.9,2,0.41,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,West Ham
David Martin,eng ENG,GK,33,4.8,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,West Ham
Ben Johnson,eng ENG,DF,19,3.0,5,1.67,4,1,0,0,0,2,0.67,2,0,0,0,0,0,Matches,West Ham
Jack Wilshere,eng ENG,MF,27,2.4,1,0.42,1,0,0,0,0,1,0.42,1,0,0,0,0,0,Matches,West Ham
Darren Randolph,ie IRL,GK,32,2.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,West Ham
Carlos Sánchez,co COL,"MF,DF",33,1.3,1,0.77,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,West Ham
Javier Hernández,mx MEX,FW,31,1.2,2,1.68,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,West Ham
Albian Ajeti,ch SUI,"MF,FW",22,1.5,2,1.29,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,West Ham
Nathan Holland,eng ENG,MF,21,0.4,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,West Ham
Conor Coady,eng ENG,DF,26,38.0,13,0.34,13,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Wolves
Rui Patrício,pt POR,GK,31,38.0,4,0.11,4,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Wolves
Raúl Jiménez,mx MEX,FW,28,36.0,83,2.31,57,0,13,8,5,12,0.33,7,0,2,1,2,0,Matches,Wolves
Rúben Neves,pt POR,MF,22,34.0,59,1.74,50,1,3,4,1,3,0.09,2,0,0,1,0,0,Matches,Wolves
João Moutinho,pt POR,MF,32,34.5,113,3.27,60,52,1,0,0,11,0.32,6,5,0,0,0,0,Matches,Wolves
Jonny Castro,es ESP,DF,25,32.1,49,1.53,42,2,2,0,3,6,0.19,5,1,0,0,0,0,Matches,Wolves
Matt Doherty,ie IRL,DF,27,31.5,64,2.03,48,1,6,7,2,15,0.48,7,0,3,4,1,0,Matches,Wolves
Leander Dendoncker,be BEL,"MF,DF",24,31.1,19,0.61,18,0,1,0,0,1,0.03,1,0,0,0,0,0,Matches,Wolves
Romain Saïss,ma MAR,DF,29,30.1,25,0.83,19,1,1,3,0,2,0.07,0,0,0,1,0,1,Matches,Wolves
Adama Traoré,es ESP,"FW,MF",23,28.9,96,3.32,66,0,18,0,12,14,0.48,11,0,1,0,2,0,Matches,Wolves
Diogo Jota,pt POR,"FW,MF",22,25.4,89,3.51,51,1,16,8,13,6,0.24,4,0,0,1,1,0,Matches,Wolves
Willy Boly,fr FRA,DF,28,22.0,8,0.36,8,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches,Wolves
Pedro Neto,pt POR,"FW,MF",19,10.4,33,3.16,20,3,6,0,4,7,0.67,4,1,1,0,1,0,Matches,Wolves
Ryan Bennett,eng ENG,DF,29,6.7,5,0.74,4,1,0,0,0,1,0.15,0,1,0,0,0,0,Matches,Wolves
Rúben Vinagre,pt POR,DF,20,7.2,9,1.24,6,1,2,0,0,0,0.00,0,0,0,0,0,0,Matches,Wolves
Patrick Cutrone,it ITA,FW,21,3.3,2,0.61,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,Wolves
Daniel Podence,pt POR,"FW,MF",23,3.2,11,3.43,7,0,1,1,2,2,0.62,0,0,1,0,1,0,Matches,Wolves
Max Kilman,eng ENG,DF,22,2.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Wolves
Jesús Vallejo,es ESP,DF,22,1.8,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Wolves
Morgan Gibbs-White,eng ENG,"MF,FW",19,1.4,4,2.79,3,0,0,0,0,1,0.70,0,0,0,0,0,1,Matches,Wolves
Bruno Jordão,pt POR,FW,20,0.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Wolves
