player,nationality,position,age,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_og_for,matches,team
Frederic Guilbert,fr FRA,DF,24,22.7,32,1.41,25,4,0,1,2,4,0.18,4,0,0,0,0,0,Matches,Aston Villa
Wesley Moraes,br BRA,FW,22,19.8,26,1.31,22,0,0,3,1,3,0.15,3,0,0,0,0,0,Matches,Aston Villa
Trézéguet,eg EGY,"FW,MF",24,21.7,44,2.03,29,2,5,4,4,2,0.09,1,0,0,0,1,0,Matches,Aston Villa
Tom Heaton,eng ENG,GK,33,19.9,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Aston Villa
Marvelous Nakamba,zw ZIM,MF,25,20.4,18,0.88,18,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches,Aston Villa
Conor Hourihane,ie IRL,MF,28,17.0,57,3.34,25,27,0,2,3,7,0.41,2,5,0,0,0,0,Matches,Aston Villa
Kortney Hause,eng ENG,DF,24,17.2,8,0.47,7,0,0,1,0,1,0.06,0,0,0,1,0,0,Matches,Aston Villa
Björn Engels,be BEL,DF,24,16.1,6,0.37,5,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,Aston Villa
Pepe Reina,es ESP,GK,36,12.0,2,0.17,2,0,0,0,0,1,0.08,1,0,0,0,0,0,Matches,Aston Villa
Neil Taylor,wal WAL,DF,30,12.1,10,0.82,10,0,0,0,0,2,0.16,2,0,0,0,0,0,Matches,Aston Villa
Ahmed Elmohamady,eg EGY,DF,31,11.5,28,2.44,27,1,0,0,0,1,0.09,1,0,0,0,0,0,Matches,Aston Villa
Mbwana Samatta,tz TAN,FW,26,10.5,21,2.00,14,0,1,1,4,1,0.10,0,0,0,0,0,1,Matches,Aston Villa
Ørjan Nyland,no NOR,GK,28,6.0,1,0.17,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Aston Villa
