player,nationality,position,age,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,matches,team
Solly March,eng ENG,"DF,FW",25,12.7,2,0,0,11,12,2,64,21,17,0,0,0,99,15,15,50.0,Matches,Brighton
Glenn Murray,eng ENG,FW,35,8.9,0,0,0,15,15,10,4,1,2,0,0,0,36,30,42,41.7,Matches,Brighton
Bernardo,br BRA,DF,24,7.5,1,0,0,3,2,4,17,7,16,0,0,0,71,28,9,75.7,Matches,Brighton
Tariq Lamptey,eng ENG,DF,18,6.5,2,0,0,13,17,0,22,18,3,0,0,0,57,4,8,33.3,Matches,Brighton
Ezequiel Schelotto,it ITA,DF,30,4.0,2,0,0,6,4,1,16,7,5,0,0,0,31,8,2,80.0,Matches,Brighton
Alexis Mac Allister,ar ARG,"MF,FW",20,3.9,0,0,0,4,4,1,23,1,4,0,0,0,31,4,4,50.0,Matches,Brighton
Alireza Jahanbakhsh,ir IRN,"FW,MF",25,3.5,0,0,0,2,7,1,24,1,3,0,0,0,32,0,5,0.0,Matches,Brighton
Jürgen Locadia,nl NED,"MF,FW",25,1.0,0,0,0,0,2,0,1,0,1,0,0,0,8,1,2,33.3,Matches,Brighton
Florin Andone,ro ROU,"MF,FW",26,0.8,0,1,0,2,3,0,0,0,2,0,0,0,7,2,3,40.0,Matches,Brighton
Gaëtan Bong,cm CMR,"MF,DF",31,0.7,0,0,0,0,1,0,5,0,0,0,0,0,4,0,3,0.0,Matches,Brighton
Nick Pope,eng ENG,GK,27,38.0,1,0,0,0,6,0,0,2,0,0,0,0,193,0,0,,Matches,Burnley
James Tarkowski,eng ENG,DF,26,38.0,10,0,0,48,31,3,4,61,51,0,0,0,442,215,60,78.2,Matches,Burnley
Dwight McNeil,eng ENG,MF,19,37.1,5,0,0,29,41,0,256,28,28,0,0,0,327,27,27,50.0,Matches,Burnley
Ashley Westwood,eng ENG,MF,29,35.0,9,0,0,33,33,1,146,32,30,0,0,0,437,17,28,37.8,Matches,Burnley
Ben Mee,eng ENG,DF,29,32.0,7,0,0,26,21,3,2,44,16,0,3,0,343,143,78,64.7,Matches,Burnley
Jack Cork,eng ENG,MF,30,29.0,1,0,0,32,25,1,6,29,27,0,0,0,339,53,64,45.3,Matches,Burnley
Chris Wood,nz NZL,FW,27,27.1,1,0,0,34,28,34,8,4,6,0,0,1,88,113,188,37.5,Matches,Burnley
Charlie Taylor,eng ENG,DF,25,21.6,3,0,0,17,28,2,88,29,16,0,0,0,198,47,31,60.3,Matches,Burnley
Jeff Hendrick,ie IRL,MF,27,21.5,8,0,0,17,16,4,31,19,10,0,0,0,175,21,24,46.7,Matches,Burnley
Phil Bardsley,sco SCO,DF,34,21.0,6,0,0,36,14,0,30,29,33,0,0,0,197,33,26,55.9,Matches,Burnley
Erik Pieters,nl NED,"DF,MF",30,20.9,2,0,0,21,20,0,41,27,41,0,1,0,186,33,15,68.8,Matches,Burnley
Jay Rodriguez,eng ENG,FW,30,22.4,1,0,0,26,15,22,14,5,17,0,0,0,118,74,139,34.7,Matches,Burnley
Matthew Lowton,eng ENG,DF,30,17.0,2,0,0,14,11,0,43,26,24,0,1,0,135,24,14,63.2,Matches,Burnley
Ashley Barnes,at AUT,FW,29,15.0,4,0,0,35,40,13,5,6,4,1,0,0,65,42,86,32.8,Matches,Burnley
Josh Brownhill,eng ENG,MF,23,8.9,2,0,0,6,9,0,2,13,8,0,0,0,104,20,15,57.1,Matches,Burnley
Matěj Vydra,cz CZE,FW,27,9.1,0,0,0,1,12,3,3,1,2,0,0,0,37,17,42,28.8,Matches,Burnley
Jóhann Berg Guðmundsson,is ISL,MF,28,6.9,0,0,0,8,4,1,35,7,3,0,0,0,45,9,14,39.1,Matches,Burnley
Kevin Long,ie IRL,DF,28,6.3,0,0,0,9,6,0,0,4,8,0,0,0,64,22,16,57.9,Matches,Burnley
Robbie Brady,ie IRL,MF,27,5.0,1,0,0,8,4,1,12,5,5,0,0,0,44,15,5,75.0,Matches,Burnley
Aaron Lennon,eng ENG,MF,32,5.5,4,0,0,11,7,0,8,7,9,0,0,0,30,3,8,27.3,Matches,Burnley
Danny Drinkwater,eng ENG,MF,29,0.6,0,0,0,1,0,0,0,1,2,0,0,0,8,0,1,0.0,Matches,Burnley
Max Thompson,eng ENG,FW,17,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches,Burnley
César Azpilicueta,es ESP,DF,29,35.9,1,0,0,41,15,3,118,66,61,0,0,0,380,94,60,61.0,Matches,Chelsea
Kepa Arrizabalaga,es ESP,GK,24,33.0,0,0,0,0,5,0,0,1,0,0,0,0,138,0,0,,Matches,Chelsea
Mason Mount,eng ENG,"MF,FW",20,31.9,3,0,0,37,38,4,135,15,31,1,0,0,214,14,39,26.4,Matches,Chelsea
Willian,br BRA,FW,30,28.9,4,0,0,17,45,4,175,20,27,1,0,0,220,10,23,30.3,Matches,Chelsea
Jorginho,it ITA,MF,27,26.4,10,0,0,27,30,0,9,64,44,0,1,0,401,13,37,26.0,Matches,Chelsea
Kurt Zouma,fr FRA,DF,24,26.0,6,0,0,30,14,1,0,55,17,0,1,1,307,99,30,76.7,Matches,Chelsea
Tammy Abraham,eng ENG,FW,21,24.6,2,0,0,17,24,23,10,5,10,1,0,1,95,67,111,37.6,Matches,Chelsea
Mateo Kovačić,hr CRO,MF,25,23.0,8,0,0,20,38,0,8,20,55,0,0,0,244,8,19,29.6,Matches,Chelsea
Andreas Christensen,dk DEN,DF,23,19.5,5,0,0,17,10,0,0,31,20,0,0,0,173,68,40,63.0,Matches,Chelsea
N'Golo Kanté,fr FRA,MF,28,19.2,4,0,0,45,9,0,26,46,43,0,0,0,282,17,34,33.3,Matches,Chelsea
Christian Pulisic,us USA,FW,20,19.1,0,0,0,13,30,3,34,7,19,2,0,0,102,16,47,25.4,Matches,Chelsea
