player,nationality,position,age,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,matches,team
Luke Ayling,eng ENG,DF,28,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Leeds United
Hélder Costa,pt POR,MF,26,1,1,90,0,1,0,0,0,0,0.00,1.00,1.00,0.00,1.00,0.0,0.0,0.1,0.00,0.14,0.14,0.00,0.14,Matches,Leeds United
Stuart Dallas,nir NIR,DF,29,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Leeds United
Jack Harrison,eng ENG,MF,23,1,1,90,1,0,0,0,0,0,1.00,0.00,1.00,1.00,1.00,0.1,0.1,0.0,0.13,0.00,0.13,0.13,0.13,Matches,Leeds United
Robin Koch,de GER,DF,24,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.04,0.00,0.04,0.04,0.04,Matches,Leeds United
Illan Meslier,fr FRA,GK,20,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Leeds United
Kalvin Phillips,eng ENG,MF,24,1,1,90,0,1,0,0,0,0,0.00,1.00,1.00,0.00,1.00,0.0,0.0,0.2,0.03,0.17,0.20,0.03,0.20,Matches,Leeds United
Pascal Struijk,nl NED,DF,20,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Leeds United
Mateusz Klich,pl POL,MF,30,1,1,80,1,0,0,0,0,0,1.13,0.00,1.13,1.13,1.13,0.1,0.1,0.0,0.16,0.00,0.16,0.16,0.16,Matches,Leeds United
Patrick Bamford,eng ENG,FW,26,1,1,61,1,0,0,0,0,0,1.48,0.00,1.48,1.48,1.48,0.2,0.2,0.0,0.33,0.00,0.33,0.33,0.33,Matches,Leeds United
Pablo Hernández,es ESP,MF,35,1,1,61,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Leeds United
Tyler Roberts,wal WAL,MF,21,1,0,29,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Leeds United
Rodrigo,es ESP,FW,29,1,0,29,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Leeds United
Jamie Shackleton,eng ENG,MF,20,1,0,10,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Leeds United
Ezgjan Alioski,mk MKD,"DF,FW",28,0,0,,,,,,,,,,,,,,,,,,,,,Matches,Leeds United
Ian Carlo Poveda,eng ENG,FW,20,0,0,,,,,,,,,,,,,,,,,,,,,Matches,Leeds United
Oliver Casey,eng ENG,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,Matches,Leeds United
Kiko Casilla,es ESP,GK,33,0,0,,,,,,,,,,,,,,,,,,,,,Matches,Leeds United
Harvey Barnes,eng ENG,MF,22,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.43,0.03,0.46,0.43,0.46,Matches,Leicester City
Timothy Castagne,be BEL,DF,24,1,1,90,1,0,0,0,0,0,1.00,0.00,1.00,1.00,1.00,0.1,0.1,0.0,0.12,0.00,0.12,0.12,0.12,Matches,Leicester City
James Justin,eng ENG,DF,22,1,1,90,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.02,0.02,0.00,0.02,Matches,Leicester City
Nampalys Mendy,fr FRA,MF,28,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Leicester City
Wilfred Ndidi,ng NGA,DF,23,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Leicester City
Kasper Schmeichel,dk DEN,GK,33,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Leicester City
Çağlar Söyüncü,tr TUR,DF,24,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.03,0.00,0.03,0.03,0.03,Matches,Leicester City
Youri Tielemans,be BEL,MF,23,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,Matches,Leicester City
Jamie Vardy,eng ENG,FW,33,1,1,90,2,0,2,2,0,0,2.00,0.00,2.00,0.00,0.00,1.5,0.0,0.0,1.52,0.02,1.54,0.00,0.02,Matches,Leicester City
Dennis Praet,be BEL,MF,26,1,1,74,0,1,0,0,0,0,0.00,1.22,1.22,0.00,1.22,0.1,0.1,0.1,0.09,0.15,0.24,0.09,0.24,Matches,Leicester City
Ayoze Pérez,es ESP,MF,27,1,1,66,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.03,0.00,0.03,0.03,0.03,Matches,Leicester City
Marc Albrighton,eng ENG,MF,30,1,0,24,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Leicester City
James Maddison,eng ENG,MF,23,1,0,16,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.27,0.27,0.00,0.27,Matches,Leicester City
Hamza Choudhury,eng ENG,MF,22,0,0,,,,,,,,,,,,,,,,,,,,,Matches,Leicester City
Christian Fuchs,at AUT,"DF,MF",34,0,0,,,,,,,,,,,,,,,,,,,,,Matches,Leicester City
Kelechi Iheanacho,ng NGA,FW,23,0,0,,,,,,,,,,,,,,,,,,,,,Matches,Leicester City
Luke Thomas,eng ENG,MF,,0,0,,,,,,,,,,,,,,,,,,,,,Matches,Leicester City
Danny Ward,wal WAL,GK,27,0,0,,,,,,,,,,,,,,,,,,,,,Matches,Leicester City
Alisson,br BRA,GK,27,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Liverpool
Virgil van Dijk,nl NED,DF,29,1,1,90,1,0,0,0,0,0,1.00,0.00,1.00,1.00,1.00,0.2,0.2,0.0,0.21,0.00,0.21,0.21,0.21,Matches,Liverpool
Roberto Firmino,br BRA,FW,28,1,1,90,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.50,0.00,0.50,0.50,0.50,Matches,Liverpool
Joe Gomez,eng ENG,DF,23,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Liverpool
