player,nationality,position,age,minutes_90s,goals,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,matches,team
Ross Barkley,eng ENG,MF,25,12.3,1,40,12,30.0,3.26,0.98,0.03,0.08,4,0,0,2.1,2.1,0.05,-1.1,-1.1,Matches,Chelsea
Emerson Palmieri,it ITA,DF,24,11.4,0,13,7,53.8,1.14,0.62,0.00,0.00,1,0,0,1.0,1.0,0.08,-1.0,-1.0,Matches,Chelsea
Olivier Giroud,fr FRA,FW,32,11.0,8,39,19,48.7,3.53,1.72,0.21,0.42,1,0,0,6.7,6.7,0.17,+1.3,+1.3,Matches,Chelsea
Pedro,es ESP,FW,32,7.3,1,23,9,39.1,3.13,1.23,0.04,0.11,0,0,0,2.9,2.9,0.13,-1.9,-1.9,Matches,Chelsea
Callum Hudson-Odoi,eng ENG,FW,18,9.6,1,22,4,18.2,2.29,0.42,0.05,0.25,0,0,0,1.7,1.7,0.08,-0.7,-0.7,Matches,Chelsea
Willy Caballero,ar ARG,GK,37,5.0,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Chelsea
Ruben Loftus-Cheek,eng ENG,"MF,FW",23,2.3,0,4,0,0.0,1.73,0.00,0.00,,0,0,0,0.5,0.5,0.14,-0.5,-0.5,Matches,Chelsea
Billy Gilmour,sco SCO,MF,18,2.2,0,1,0,0.0,0.46,0.00,0.00,,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,Chelsea
Michy Batshuayi,be BEL,FW,25,2.7,1,15,2,13.3,5.65,0.75,0.07,0.50,0,0,0,2.2,2.2,0.15,-1.2,-1.2,Matches,Chelsea
Tariq Lamptey,eng ENG,DF,18,0.4,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Chelsea
Faustino Anjorin,eng ENG,FW,17,0.2,0,1,0,0.0,4.50,0.00,0.00,,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,Chelsea
