player,nationality,position,age,minutes_90s,goals,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,matches,team
Sébastien Haller,fr FRA,FW,25,25.2,7,55,27,49.1,2.18,1.07,0.13,0.26,0,0,0,7.7,7.7,0.15,-0.7,-0.7,Matches,West Ham
Pablo Fornals,es ESP,"MF,FW",23,24.1,2,37,12,32.4,1.53,0.50,0.05,0.17,0,0,0,2.8,2.8,0.08,-0.8,-0.8,Matches,West Ham
Felipe Anderson,br BRA,"MF,FW",26,16.6,1,23,8,34.8,1.38,0.48,0.04,0.13,0,0,0,2.5,2.5,0.11,-1.5,-1.5,Matches,West Ham
Michail Antonio,eng ENG,FW,29,19.6,10,67,30,44.8,3.41,1.53,0.13,0.30,0,1,1,11.6,10.8,0.16,-1.6,-1.8,Matches,West Ham
Robert Snodgrass,sco SCO,"MF,FW",31,16.8,5,21,10,47.6,1.25,0.60,0.24,0.50,0,0,0,2.7,2.7,0.13,+2.3,+2.3,Matches,West Ham
Manuel Lanzini,ar ARG,"MF,FW",26,15.3,0,23,7,30.4,1.50,0.46,0.00,0.00,3,0,0,2.0,2.0,0.09,-2.0,-2.0,Matches,West Ham
Fabián Balbuena,py PAR,DF,27,13.1,1,10,4,40.0,0.76,0.31,0.10,0.25,0,0,0,1.8,1.8,0.18,-0.8,-0.8,Matches,West Ham
Tomáš Souček,cz CZE,MF,24,11.6,3,19,7,36.8,1.64,0.61,0.16,0.43,0,0,0,2.2,2.2,0.12,+0.8,+0.8,Matches,West Ham
Jarrod Bowen,eng ENG,FW,22,10.2,1,24,7,29.2,2.36,0.69,0.04,0.14,0,0,0,1.8,1.8,0.07,-0.8,-0.8,Matches,West Ham
Andriy Yarmolenko,ua UKR,"MF,FW",29,11.0,5,26,12,46.2,2.36,1.09,0.19,0.42,2,0,0,2.0,2.0,0.08,+3.0,+3.0,Matches,West Ham
Arthur Masuaku,cd COD,DF,25,10.4,0,5,2,40.0,0.48,0.19,0.00,0.00,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,West Ham
Roberto,es ESP,GK,33,7.6,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,West Ham
Pablo Zabaleta,ar ARG,DF,34,6.6,0,1,0,0.0,0.15,0.00,0.00,,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,West Ham
Jeremy Ngakia,eng ENG,DF,18,4.9,0,1,1,100.0,0.20,0.20,0.00,0.00,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,West Ham
David Martin,eng ENG,GK,33,4.8,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,West Ham
Ben Johnson,eng ENG,DF,19,3.0,0,1,0,0.0,0.33,0.00,0.00,,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,West Ham
Jack Wilshere,eng ENG,MF,27,2.4,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,West Ham
Darren Randolph,ie IRL,GK,32,2.0,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,West Ham
Carlos Sánchez,co COL,"MF,DF",33,1.3,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,West Ham
Javier Hernández,mx MEX,FW,31,1.2,1,3,2,66.7,2.52,1.68,0.33,0.50,1,0,0,0.7,0.7,0.24,+0.3,+0.3,Matches,West Ham
Albian Ajeti,ch SUI,"MF,FW",22,1.5,0,3,0,0.0,1.94,0.00,0.00,,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,West Ham
Nathan Holland,eng ENG,MF,21,0.4,0,1,1,100.0,2.73,2.73,0.00,0.00,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches,West Ham
Conor Coady,eng ENG,DF,26,38.0,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Wolves
Rui Patrício,pt POR,GK,31,38.0,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Wolves
Raúl Jiménez,mx MEX,FW,28,36.0,17,114,39,34.2,3.17,1.08,0.11,0.33,0,4,4,14.5,11.5,0.10,+2.5,+1.5,Matches,Wolves
Rúben Neves,pt POR,MF,22,34.0,2,62,10,16.1,1.83,0.29,0.03,0.20,7,0,0,1.7,1.7,0.03,+0.3,+0.3,Matches,Wolves
João Moutinho,pt POR,MF,32,34.5,1,22,6,27.3,0.64,0.17,0.05,0.17,4,0,0,0.8,0.8,0.04,+0.2,+0.2,Matches,Wolves
Jonny Castro,es ESP,DF,25,32.1,2,17,5,29.4,0.53,0.16,0.12,0.40,0,0,0,1.3,1.3,0.07,+0.7,+0.7,Matches,Wolves
Matt Doherty,ie IRL,DF,27,31.5,4,34,15,44.1,1.08,0.48,0.12,0.27,0,0,0,5.1,5.1,0.15,-1.1,-1.1,Matches,Wolves
Leander Dendoncker,be BEL,"MF,DF",24,31.1,4,20,5,25.0,0.64,0.16,0.20,0.80,0,0,0,1.7,1.7,0.08,+2.3,+2.3,Matches,Wolves
Romain Saïss,ma MAR,DF,29,30.1,2,23,8,34.8,0.77,0.27,0.09,0.25,1,0,0,2.7,2.7,0.12,-0.7,-0.7,Matches,Wolves
Adama Traoré,es ESP,"FW,MF",23,28.9,4,43,12,27.9,1.49,0.41,0.09,0.33,0,0,0,3.5,3.5,0.08,+0.5,+0.5,Matches,Wolves
Diogo Jota,pt POR,"FW,MF",22,25.4,7,69,26,37.7,2.72,1.02,0.10,0.27,0,0,0,9.7,9.7,0.14,-2.7,-2.7,Matches,Wolves
Willy Boly,fr FRA,DF,28,22.0,0,4,3,75.0,0.18,0.14,0.00,0.00,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches,Wolves
Pedro Neto,pt POR,"FW,MF",19,10.4,3,17,6,35.3,1.63,0.58,0.18,0.50,0,0,0,2.0,2.0,0.12,+1.0,+1.0,Matches,Wolves
Ryan Bennett,eng ENG,DF,29,6.7,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Wolves
Rúben Vinagre,pt POR,DF,20,7.2,0,5,0,0.0,0.69,0.00,0.00,,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches,Wolves
Patrick Cutrone,it ITA,FW,21,3.3,2,11,3,27.3,3.33,0.91,0.18,0.67,0,0,0,2.4,2.4,0.22,-0.4,-0.4,Matches,Wolves
Daniel Podence,pt POR,"FW,MF",23,3.2,1,10,4,40.0,3.11,1.25,0.10,0.25,0,0,0,1.6,1.6,0.16,-0.6,-0.6,Matches,Wolves
Max Kilman,eng ENG,DF,22,2.1,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Wolves
Jesús Vallejo,es ESP,DF,22,1.8,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Wolves
Morgan Gibbs-White,eng ENG,"MF,FW",19,1.4,0,2,0,0.0,1.40,0.00,0.00,,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,Wolves
Bruno Jordão,pt POR,FW,20,0.1,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Wolves
