player,nationality,position,age,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xa,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches,team
Pascal Groß,de GER,"FW,MF",28,20.0,762,1028,74.1,14861,4611,10,45,22.2,582,669,87.0,170,314,54.1,4,5.1,-1.1,62,54,37,10,152,Matches,Brighton
Yves Bissouma,ml MLI,MF,22,14.0,525,622,84.4,10231,1967,8,18,44.4,391,446,87.7,126,158,79.7,0,0.2,-0.2,4,48,6,0,41,Matches,Brighton
Aaron Connolly,ie IRL,FW,19,14.0,126,163,77.3,1737,243,12,21,57.1,96,119,80.7,18,23,78.3,1,0.3,+0.7,6,6,2,0,10,Matches,Brighton
Shane Duffy,ie IRL,DF,27,13.8,515,613,84.0,12117,3501,5,11,45.5,311,349,89.1,199,253,78.7,0,0.0,0.0,1,26,4,0,24,Matches,Brighton
Steven Alzate,co COL,"MF,DF",20,13.2,564,664,84.9,8969,2604,11,28,39.3,492,553,89.0,61,83,73.5,0,0.7,-0.7,13,33,16,2,64,Matches,Brighton
Solly March,eng ENG,"DF,FW",25,12.7,435,601,72.4,8085,2327,3,28,10.7,343,404,84.9,89,169,52.7,1,0.7,+0.3,13,18,20,7,69,Matches,Brighton
Glenn Murray,eng ENG,FW,35,8.9,116,177,65.5,1654,304,5,16,31.3,98,134,73.1,13,27,48.1,1,0.5,+0.5,4,7,4,0,11,Matches,Brighton
Bernardo,br BRA,DF,24,7.5,286,383,74.7,4721,2080,4,15,26.7,241,296,81.4,41,72,56.9,0,0.2,-0.2,3,25,8,3,50,Matches,Brighton
Tariq Lamptey,eng ENG,DF,18,6.5,173,235,73.6,2905,842,1,9,11.1,143,178,80.3,29,48,60.4,1,0.6,+0.4,4,11,6,5,29,Matches,Brighton
Ezequiel Schelotto,it ITA,DF,30,4.0,121,169,71.6,2075,711,1,8,12.5,105,129,81.4,15,32,46.9,0,0.0,0.0,0,4,3,1,21,Matches,Brighton
